ShortlistRank,SourceReport,GroupType,GroupValue,SemanticClass,FormalizationPath,SampleCount,RankingMethod,RankingScore,RankingLabel,Delta_Mean_CloseReturn_Pct,Delta_PositiveCloseReturnRate,SelectionDecision,SelectionReason
1,report,LifecycleStatus,EXPIRED,DIAGNOSTIC_ONLY,NOT_DIRECT_FORMALIZATION_SOURCE,12,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.39336227960189113,TOP,0.18525080974204947,0.3666666666666667,SELECT,STRONG_POSITIVE_EDGE
2,context_report,RelVolume_20,MID,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2848204224513335,TOP,0.1321244382413197,0.2666666666666667,SELECT,STRONG_POSITIVE_EDGE
3,context_report,LiqTotalRatio_20,MID,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.17434158186425586,TOP,0.04650612760037384,0.16666666666666674,SELECT,STRONG_POSITIVE_EDGE
4,context_report,OIChangeAbsRatio_20,MID,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.17428285514840272,TOP,0.04074022912932816,0.16666666666666674,SELECT,STRONG_POSITIVE_EDGE
5,report,Direction,SHORT,BASELINE_DIRECT,BASELINE_AUTO,9,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.14518711014845695,TOP,-0.025558528657193047,0.1444444444444445,SELECT,STRONG_POSITIVE_EDGE
6,report,SetupType,FAILED_BREAK_RECLAIM_SHORT,BASELINE_DIRECT,BASELINE_AUTO,9,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.14518711014845695,TOP,-0.025558528657193047,0.1444444444444445,SELECT,STRONG_POSITIVE_EDGE
7,context_report,AbsorptionScore_v1,LOW,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.07807568055161344,TOP,0.07276766816325844,0.06666666666666665,SELECT,STRONG_POSITIVE_EDGE
8,context_report,DeltaAbsRatio_20,LOW,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.07532363265131618,TOP,0.058752551517416624,0.06666666666666665,SELECT,STRONG_POSITIVE_EDGE
9,context_report,DeltaAbsRatio_20,MID,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.07487970036296451,TOP,0.055786633908624955,0.06666666666666665,SELECT,STRONG_POSITIVE_EDGE
10,context_report,OIChangeAbsRatio_20,LOW,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.07316221503799956,TOP,0.038468148475560904,0.06666666666666665,SELECT,STRONG_POSITIVE_EDGE
11,context_report,AbsorptionScore_v1,MID,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.06653648063004612,TOP,-0.019073045778549708,0.06666666666666665,SELECT,STRONG_POSITIVE_EDGE
12,context_report,CtxDeltaSpike_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,26,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.06501710688888894,TOP,0.034514508105167166,0.05897435897435899,SELECT,STRONG_POSITIVE_EDGE
13,context_report,CtxOISpike_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,26,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.06134919230661769,TOP,0.001015575876847044,0.05897435897435899,SELECT,STRONG_POSITIVE_EDGE
14,context_report,CtxLiqSpike_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,27,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.03696211267919161,TOP,0.012129505790614892,0.033333333333333326,REVIEW,POSITIVE_BUT_BORDERLINE
15,context_report,CtxWickReclaim_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,23,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.022281262647792954,TOP,0.006186017035178418,0.018840579710144967,REVIEW,POSITIVE_BUT_BORDERLINE
16,context_report,CtxRelVolumeSpike_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,30,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.0020749419611598716,TOP,0.0,0.0,REVIEW,POSITIVE_BUT_BORDERLINE
17,report,OutcomeStatus,FULL_HORIZON,DIAGNOSTIC_ONLY,NOT_DIRECT_FORMALIZATION_SOURCE,30,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.0020749419611598716,TOP,0.0,0.0,REVIEW,POSITIVE_BUT_BORDERLINE
