ShortlistRank,ResearchPriority,SourceReport,GroupType,GroupValue,SampleCount,RankingMethod,RankingScore,RankingLabel,Delta_Mean_CloseReturn_Pct,Delta_PositiveCloseReturnRate,SelectionDecision,SelectionReason,ScoreBand,SampleBand,DeltaDirection,PositiveRateDirection,ExplanationCode,OutcomeSemantics,ConfidenceModelStatus,AcceptedBreakSemanticsStatus,ContextFormalizationStatus,ExecutableEntrySemanticsStatus,FormalizationEligible,Direction,SetupType,EligibleEventTypes
1,P1,report,LifecycleStatus,EXPIRED,12,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.39336227960189113,TOP,0.18525080974204947,0.3666666666666667,SELECT,STRONG_POSITIVE_EDGE,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
2,P1,context_report,RelVolume_20,MID,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2848204224513335,TOP,0.1321244382413197,0.2666666666666667,SELECT,STRONG_POSITIVE_EDGE,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
3,P1,context_report,LiqTotalRatio_20,MID,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.17434158186425586,TOP,0.04650612760037384,0.16666666666666674,SELECT,STRONG_POSITIVE_EDGE,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
4,P1,context_report,OIChangeAbsRatio_20,MID,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.17428285514840272,TOP,0.04074022912932816,0.16666666666666674,SELECT,STRONG_POSITIVE_EDGE,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
5,P1,report,Direction,SHORT,9,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.14518711014845695,TOP,-0.025558528657193047,0.1444444444444445,SELECT,STRONG_POSITIVE_EDGE,MODERATE,SMALL,DOWN,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|SMALL|DOWN|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,True,SHORT,FAILED_BREAK_RECLAIM,FAILED_BREAK_UP
6,P1,report,SetupType,FAILED_BREAK_RECLAIM_SHORT,9,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.14518711014845695,TOP,-0.025558528657193047,0.1444444444444445,SELECT,STRONG_POSITIVE_EDGE,MODERATE,SMALL,DOWN,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|SMALL|DOWN|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,True,SHORT,FAILED_BREAK_RECLAIM_SHORT,FAILED_BREAK_UP
7,P1,context_report,AbsorptionScore_v1,LOW,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.07807568055161344,TOP,0.07276766816325844,0.06666666666666665,SELECT,STRONG_POSITIVE_EDGE,WEAK_POSITIVE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
8,P1,context_report,DeltaAbsRatio_20,LOW,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.07532363265131618,TOP,0.058752551517416624,0.06666666666666665,SELECT,STRONG_POSITIVE_EDGE,WEAK_POSITIVE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
9,P1,context_report,DeltaAbsRatio_20,MID,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.07487970036296451,TOP,0.055786633908624955,0.06666666666666665,SELECT,STRONG_POSITIVE_EDGE,WEAK_POSITIVE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
10,P1,context_report,OIChangeAbsRatio_20,LOW,10,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.07316221503799956,TOP,0.038468148475560904,0.06666666666666665,SELECT,STRONG_POSITIVE_EDGE,WEAK_POSITIVE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
