ShortlistRank,SourceReport,GroupType,GroupValue,SelectionDecision,SelectionReason,RankingLabel,ScoreBand,SampleBand,DeltaDirection,PositiveRateDirection,ExplanationCode
1,report,LifecycleStatus,EXPIRED,SELECT,STRONG_POSITIVE_EDGE,TOP,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP
2,context_report,RelVolume_20,MID,SELECT,STRONG_POSITIVE_EDGE,TOP,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP
3,context_report,LiqTotalRatio_20,MID,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP
4,context_report,OIChangeAbsRatio_20,MID,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP
5,report,Direction,SHORT,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,SMALL,DOWN,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|SMALL|DOWN|UP
6,report,SetupType,FAILED_BREAK_RECLAIM_SHORT,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,SMALL,DOWN,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|SMALL|DOWN|UP
7,context_report,AbsorptionScore_v1,LOW,SELECT,STRONG_POSITIVE_EDGE,TOP,WEAK_POSITIVE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP
8,context_report,DeltaAbsRatio_20,LOW,SELECT,STRONG_POSITIVE_EDGE,TOP,WEAK_POSITIVE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP
9,context_report,DeltaAbsRatio_20,MID,SELECT,STRONG_POSITIVE_EDGE,TOP,WEAK_POSITIVE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP
10,context_report,OIChangeAbsRatio_20,LOW,SELECT,STRONG_POSITIVE_EDGE,TOP,WEAK_POSITIVE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP
11,context_report,AbsorptionScore_v1,MID,SELECT,STRONG_POSITIVE_EDGE,TOP,WEAK_POSITIVE,MEDIUM,DOWN,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|MEDIUM|DOWN|UP
12,context_report,CtxDeltaSpike_v1,0,SELECT,STRONG_POSITIVE_EDGE,TOP,WEAK_POSITIVE,LARGE,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|LARGE|UP|UP
13,context_report,CtxOISpike_v1,0,SELECT,STRONG_POSITIVE_EDGE,TOP,WEAK_POSITIVE,LARGE,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|LARGE|UP|UP
14,context_report,CtxLiqSpike_v1,0,REVIEW,POSITIVE_BUT_BORDERLINE,TOP,WEAK_POSITIVE,LARGE,UP,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|UP|UP
15,context_report,CtxWickReclaim_v1,0,REVIEW,POSITIVE_BUT_BORDERLINE,TOP,WEAK_POSITIVE,LARGE,UP,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|UP|UP
16,context_report,CtxRelVolumeSpike_v1,0,REVIEW,POSITIVE_BUT_BORDERLINE,TOP,WEAK_POSITIVE,LARGE,FLAT,FLAT,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|FLAT|FLAT
17,report,OutcomeStatus,FULL_HORIZON,REVIEW,POSITIVE_BUT_BORDERLINE,TOP,WEAK_POSITIVE,LARGE,FLAT,FLAT,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|FLAT|FLAT
