candidate_id,final_status,rolling_verdict,mapper_integrity,outlier_verdict,top5_contribution,pnl_without_top5_net_0_00015,net_0_00015,median_result,winrate
CAND_BTC_EXH_SHORT_24_V1,INTEGRITY_WARN_HOLDOUT_REQUIRED,PASS,PASS,PASS,0.42171,0.0380184434,0.0842446773,-0.0005436309,0.403315
CAND_BTC_VWAP_DEV_LONG_60_100200_V1,INTEGRITY_WARN_HOLDOUT_REQUIRED,PASS,PASS,WARN,0.515206,0.0245694502,0.0926519329,-0.0005069957,0.223443
CAND_BTC_VWAP_DEV_SHORT_60_100200_V1,INTEGRITY_WARN_HOLDOUT_REQUIRED,PASS,PASS,PASS,0.363019,0.0888518598,0.1566910586,-0.0005417762,0.255814
