SourceReport,GroupType,GroupValue,SampleCount,Mean_CloseReturn_Pct,PositiveCloseReturnRate,Mean_MFE_Pct,Mean_MAE_Pct,Baseline_Mean_CloseReturn_Pct,Baseline_PositiveCloseReturnRate,Delta_Mean_CloseReturn_Pct,Delta_PositiveCloseReturnRate,MinSamplePassed,RankingMethod,RankingScore,RankingLabel
report,SetupType,FAILED_BREAK_RECLAIM_LONG,11,0.13881623923183348,1.0,0.21787039272864742,-0.049886687772411537,0.050389771590115436,0.7291666666666666,0.08842646764171805,0.27083333333333337,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2830356541966299,TOP
report,SetupType,FAILED_BREAK_RECLAIM_SHORT,37,0.024100821750685755,0.6486486486486487,5.56322000230216,-0.08961492233009145,0.050389771590115436,0.7291666666666666,-0.02628894983942968,-0.08051801801801795,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.026325188597480446,TOP
report,Direction,LONG,11,0.13881623923183348,1.0,0.21787039272864742,-0.049886687772411537,0.050389771590115436,0.7291666666666666,0.08842646764171805,0.27083333333333337,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2830356541966299,TOP
report,Direction,SHORT,37,0.024100821750685755,0.6486486486486487,5.56322000230216,-0.08961492233009145,0.050389771590115436,0.7291666666666666,-0.02628894983942968,-0.08051801801801795,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.026325188597480446,TOP
report,LifecycleStatus,EXPIRED,23,0.16702792798140323,1.0,0.2564038362964027,0.02455490878838454,0.050389771590115436,0.7291666666666666,0.1166381563912878,0.27083333333333337,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2881163238741579,TOP
report,LifecycleStatus,INVALIDATED,25,-0.05691733228986932,0.48,8.093537046815108,-0.1771707437537102,0.050389771590115436,0.7291666666666666,-0.10730710387998475,-0.24916666666666665,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.10157005099343719,WEAK
report,OutcomeStatus,FULL_HORIZON,48,0.050389771590115436,0.7291666666666666,4.338244050108228,-0.08051053524395647,0.050389771590115436,0.7291666666666666,0.0,0.0,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08515467029728543,TOP
context_report,CtxRelVolumeSpike_v1,0,35,0.035125034679352934,0.7142857142857143,3.02650671637827,-0.09346208142263074,0.050389771590115436,0.7291666666666666,-0.015264736910762501,-0.014880952380952328,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.04225346662708421,TOP
context_report,CtxRelVolumeSpike_v1,1,13,0.0914871401960145,0.7692307692307693,7.869844563996578,-0.04564098783983349,0.050389771590115436,0.7291666666666666,0.04109736860589907,0.040064102564102644,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.20065791094782745,TOP
context_report,CtxDeltaSpike_v1,0,34,0.03724263772511827,0.7647058823529411,3.117825903302566,-0.0919167741343454,0.050389771590115436,0.7291666666666666,-0.013147133864997163,0.035539215686274495,True,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.09474268488313918,TOP
