ShortlistRank,ResearchPriority,SourceReport,GroupType,GroupValue,SampleCount,RankingMethod,RankingScore,RankingLabel,Delta_Mean_CloseReturn_Pct,Delta_PositiveCloseReturnRate,SelectionDecision,SelectionReason,ScoreBand,SampleBand,DeltaDirection,PositiveRateDirection,ExplanationCode,OutcomeSemantics,ConfidenceModelStatus,AcceptedBreakSemanticsStatus,ContextFormalizationStatus,ExecutableEntrySemanticsStatus,FormalizationEligible,Direction,SetupType,EligibleEventTypes
1,P1,report,LifecycleStatus,EXPIRED,23,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2881163238741579,TOP,0.1166381563912878,0.27083333333333337,SELECT,STRONG_POSITIVE_EDGE,STRONG,LARGE,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|LARGE|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
2,P1,report,Direction,LONG,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2830356541966299,TOP,0.08842646764171805,0.27083333333333337,SELECT,STRONG_POSITIVE_EDGE,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,True,LONG,FAILED_BREAK_RECLAIM,FAILED_BREAK_DOWN
3,P1,report,SetupType,FAILED_BREAK_RECLAIM_LONG,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2830356541966299,TOP,0.08842646764171805,0.27083333333333337,SELECT,STRONG_POSITIVE_EDGE,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,True,LONG,FAILED_BREAK_RECLAIM_LONG,FAILED_BREAK_DOWN
4,P1,context_report,RelVolume_20,MID,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2825621536233795,TOP,0.07484019461284311,0.14583333333333337,SELECT,STRONG_POSITIVE_EDGE,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
5,P1,context_report,LiqTotalRatio_20,LOW,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2745683450619925,TOP,0.015846148026028177,0.02083333333333337,SELECT,STRONG_POSITIVE_EDGE,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
6,P1,context_report,CtxRelVolumeSpike_v1,1,13,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.20065791094782745,TOP,0.04109736860589907,0.040064102564102644,SELECT,STRONG_POSITIVE_EDGE,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
7,P1,context_report,RelVolume_20,HIGH,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.15162155251085432,TOP,0.033488314854590175,0.02083333333333337,SELECT,STRONG_POSITIVE_EDGE,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
8,P1,context_report,AbsorptionScore_v1,LOW,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.14400236782125275,TOP,-0.03295895148207348,0.02083333333333337,SELECT,STRONG_POSITIVE_EDGE,MODERATE,MEDIUM,DOWN,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|DOWN|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
9,P1,context_report,DeltaAbsRatio_20,MID,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.14095849107011868,TOP,-0.05583636329912839,0.02083333333333337,SELECT,STRONG_POSITIVE_EDGE,MODERATE,MEDIUM,DOWN,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|DOWN|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
10,P1,context_report,CtxOISpike_v1,0,34,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.1252924482615713,TOP,-0.0032464316435268925,0.006127450980392246,SELECT,STRONG_POSITIVE_EDGE,MODERATE,LARGE,DOWN,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|LARGE|DOWN|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
11,P1,context_report,CtxDeltaSpike_v1,0,34,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.09474268488313918,TOP,-0.013147133864997163,0.035539215686274495,SELECT,STRONG_POSITIVE_EDGE,WEAK_POSITIVE,LARGE,DOWN,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|LARGE|DOWN|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
12,P1,context_report,CtxWickReclaim_v1,1,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.09401084462501084,TOP,0.02397230320898975,0.0890151515151516,SELECT,STRONG_POSITIVE_EDGE,WEAK_POSITIVE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
13,P1,context_report,OIChangeAbsRatio_20,MID,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.09084347828159281,TOP,0.04322566469112248,0.08333333333333337,SELECT,STRONG_POSITIVE_EDGE,WEAK_POSITIVE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
14,P1,context_report,LiqTotalRatio_20,HIGH,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08931761048024592,TOP,0.03474213251366911,0.08333333333333337,SELECT,STRONG_POSITIVE_EDGE,WEAK_POSITIVE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
15,P2,context_report,DeltaAbsRatio_20,HIGH,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.0880771750975862,TOP,0.025255321873165586,-0.04166666666666663,REVIEW,POSITIVE_BUT_BORDERLINE,WEAK_POSITIVE,MEDIUM,UP,DOWN,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|MEDIUM|UP|DOWN,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
16,P2,context_report,OIChangeAbsRatio_20,HIGH,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08639297999888784,TOP,0.011943046547624014,-0.04166666666666663,REVIEW,POSITIVE_BUT_BORDERLINE,WEAK_POSITIVE,MEDIUM,UP,DOWN,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|MEDIUM|UP|DOWN,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
17,P2,context_report,AbsorptionScore_v1,MID,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08554273092633542,TOP,0.004086915147771243,-0.04166666666666663,REVIEW,POSITIVE_BUT_BORDERLINE,WEAK_POSITIVE,MEDIUM,UP,DOWN,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|MEDIUM|UP|DOWN,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
18,P2,report,OutcomeStatus,FULL_HORIZON,48,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08515467029728543,TOP,0.0,0.0,REVIEW,POSITIVE_BUT_BORDERLINE,WEAK_POSITIVE,LARGE,FLAT,FLAT,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|FLAT|FLAT,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
19,P2,context_report,CtxWickReclaim_v1,0,37,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.0825217536052591,TOP,-0.007126900954023983,-0.026463963963963888,REVIEW,POSITIVE_BUT_BORDERLINE,WEAK_POSITIVE,LARGE,DOWN,DOWN,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|DOWN|DOWN,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
