GroupType,GroupValue,SampleCount,Mean_MFE_Pct,Median_MFE_Pct,Mean_MAE_Pct,Median_MAE_Pct,Mean_CloseReturn_Pct,Median_CloseReturn_Pct,PositiveCloseReturnRate,FullHorizonRate,PartialHorizonRate,NoForwardBarsRate
CtxRelVolumeSpike_v1,0,35,3.02650671637827,0.20125726432577598,-0.09346208142263074,-0.02332405492188068,0.035125034679352934,0.11080139372822301,0.7142857142857143,1.0,0.0,0.0
CtxRelVolumeSpike_v1,1,13,7.869844563996578,0.2287712692336,-0.04564098783983349,-0.03289198606272588,0.0914871401960145,0.057303481742856315,0.7692307692307693,1.0,0.0,0.0
CtxDeltaSpike_v1,0,34,3.117825903302566,0.20076843682741558,-0.0919167741343454,-0.030103963231273866,0.03724263772511827,0.09326701027752915,0.7647058823529411,1.0,0.0,0.0
CtxDeltaSpike_v1,1,14,7.302116692350553,0.21950142619861068,-0.05280966936729766,-0.025105223002360615,0.08231852526225139,0.10755083279428174,0.6428571428571429,1.0,0.0,0.0
CtxOISpike_v1,0,34,6.052580651577023,0.20603417015863684,-0.07809862930043698,-0.02646651741135343,0.04714333994658854,0.10929488484198908,0.7352941176470589,1.0,0.0,0.0
CtxOISpike_v1,1,14,0.17485516082687227,0.10778837595575516,-0.0863680211067895,-0.056306620209061256,0.05827396272439505,0.06667063008629252,0.7142857142857143,1.0,0.0,0.0
CtxLiqSpike_v1,0,45,4.6152965263114245,0.20125726432577598,-0.07803305362853559,-0.029608979900826178,0.04416921408658873,0.07874564459930314,0.7111111111111111,1.0,0.0,0.0
CtxLiqSpike_v1,1,3,0.18245690706028428,0.2108110759914977,-0.11767275947526985,-0.1627338159748342,0.14369813414301588,0.1526417963794798,1.0,1.0,0.0,0.0
CtxWickReclaim_v1,0,37,5.571307427740541,0.20125726432577598,-0.08638704450927168,-0.030598946561721557,0.04326287063609145,0.10778837595575516,0.7027027027027027,1.0,0.0,0.0
CtxWickReclaim_v1,1,11,0.1906672344359098,0.2191343842658917,-0.060744094987896326,-0.02332405492188068,0.07436207479910519,0.07874564459930314,0.8181818181818182,1.0,0.0,0.0
AbsorptionScore_v1,LOW,16,6.413186138266013,0.20076843682741558,-0.08993965645967664,-0.006148181751740119,0.017430820108041957,0.11231418417345132,0.75,1.0,0.0,0.0
AbsorptionScore_v1,MID,16,6.42198049734347,0.2193179052322512,-0.08194519343222392,-0.030598946561721557,0.05447668673788668,0.07860627177700552,0.6875,1.0,0.0,0.0
AbsorptionScore_v1,HIGH,16,0.17956551471520243,0.10778837595575516,-0.06964675583996886,-0.03376445297334813,0.07926180792441767,0.06667063008629252,0.75,1.0,0.0,0.0
RelVolume_20,LOW,16,0.13273630409508191,0.09902248466826656,-0.19374518554345221,-0.07247737158140899,-0.05793873787731785,0.04608974416404245,0.5625,1.0,0.0,0.0
RelVolume_20,MID,16,6.452819135912782,0.22413634771610536,0.009420905525308233,0.004041811846691924,0.12522996620295854,0.14878720556182617,0.875,1.0,0.0,0.0
RelVolume_20,HIGH,16,6.429176710316821,0.22905059923267035,-0.05720732571372545,-0.03174546631222372,0.08387808644470561,0.06215163925039954,0.75,1.0,0.0,0.0
DeltaAbsRatio_20,LOW,16,0.18877470195416082,0.20027960932905517,-0.061929339543065245,-0.030103963231273866,0.08097081301607825,0.0962863096089914,0.75,1.0,0.0,0.0
DeltaAbsRatio_20,MID,16,6.412547814369369,0.22260716004756487,-0.127108111034461,0.00945332720538454,-0.005446591709012953,0.10929488484198908,0.75,1.0,0.0,0.0
DeltaAbsRatio_20,HIGH,16,6.413409634001156,0.21950142619861068,-0.052494155154343136,-0.03174546631222372,0.07564509346328102,0.05574675078065175,0.6875,1.0,0.0,0.0
OIChangeAbsRatio_20,LOW,16,6.3984026831704455,0.15951262696417712,-0.12784816307459151,-0.023463719921410768,-0.0047789396486310545,0.09477351916376307,0.6875,1.0,0.0,0.0
OIChangeAbsRatio_20,MID,16,0.1980838854451421,0.2193179052322512,-0.038704961487782075,-0.02696150074180112,0.09361543628123792,0.13021508616761748,0.8125,1.0,0.0,0.0
OIChangeAbsRatio_20,HIGH,16,6.418245581709098,0.16364490107718294,-0.07497848116949582,-0.04320557491289198,0.06233281813773945,0.06667063008629252,0.6875,1.0,0.0,0.0
LiqTotalRatio_20,LOW,16,12.659414412125543,0.22905059923267035,-0.05189456582272422,-0.00021819157348312878,0.06623591961614361,0.10929488484198908,0.75,1.0,0.0,0.0
LiqTotalRatio_20,MID,16,0.16379779703545314,0.15170774891539868,-0.12362029352273703,-0.03125048298177603,-0.00019850894958184026,0.0840084972185634,0.625,1.0,0.0,0.0
LiqTotalRatio_20,HIGH,16,0.1915199411636898,0.20125726432577598,-0.06601674638640817,-0.03261793322284597,0.08513190410378454,0.07273334785632533,0.8125,1.0,0.0,0.0
