candidate_id,rule_version,mapped_events,valid_replay_events,invalid_events,trades,skipped_due_to_active_position,independent_days,net_0_00000,net_0_00010,net_0_00015,net_0_00020,winrate,median_result,max_drawdown,same_bar_ambiguous_count,same_bar_status,source_concentration_verdict,single_day_dominance_verdict,verdict,promotion_status
CAND_BTC_EXH_SHORT_24_V1,SPRINT08_BTC_FORMAL_REPLAY_V1,181,181,0,181,0,54,0.1113946773,0.0932946773,0.0842446773,0.0751946773,0.403315,-0.0005436309,-0.0152688594,0,PASS,PASS,PASS,REPLAY_PASS_REVIEW,NO_PROMOTE_HOLDOUT_REQUIRED
CAND_BTC_VWAP_DEV_LONG_60_100200_V1,SPRINT08_BTC_FORMAL_REPLAY_V1,423,423,0,273,150,30,0.1336019329,0.1063019329,0.0926519329,0.0790019329,0.223443,-0.0005069957,-0.0119221437,0,PASS,PASS,PASS,REPLAY_PASS_REVIEW,NO_PROMOTE_HOLDOUT_REQUIRED
CAND_BTC_VWAP_DEV_SHORT_60_100200_V1,SPRINT08_BTC_FORMAL_REPLAY_V1,305,301,4,215,86,31,0.1889410586,0.1674410586,0.1566910586,0.1459410586,0.255814,-0.0005417762,-0.0147033624,0,PASS,PASS,PASS,REPLAY_PASS_REVIEW,NO_PROMOTE_HOLDOUT_REQUIRED
