date,rows,start_ts,end_ts,duplicate_timestamps,max_timestamp_gap_minutes,synthetic_rows,nonpositive_ohlc_rows,is_full_1m_calendar_day
2026-03-10,526,2026-03-10 15:14:00+00:00,2026-03-10 23:59:00+00:00,0,1.0333333333333334,,0,False
2026-03-11,615,2026-03-11 13:45:00+00:00,2026-03-11 23:59:00+00:00,0,1.0,4.0,0,False
2026-03-29,834,2026-03-29 00:00:00+00:00,2026-03-29 13:53:00+00:00,0,1.0,0.0,0,False
2026-05-03,1399,2026-05-03 00:00:00+00:00,2026-05-03 23:18:00+00:00,0,1.0,1399.0,0,False
