SetupId,SetupType,Direction,Status,DetectedAt,SetupBarTs,ReferenceEventTs,ReferenceEventType,SourceTF,ReferenceEventAnchorTs,ReferenceLevel,AbsorptionScore_v1,CtxRelVolumeSpike_v1,CtxDeltaSpike_v1,CtxOISpike_v1,CtxLiqSpike_v1,CtxWickReclaim_v1,RelVolume_20,DeltaAbsRatio_20,OIChangeAbsRatio_20,LiqTotalRatio_20,LifecycleStatus,InvalidatedAt,ExpiredAt,LifecycleBarsForward
aa05eab67329244350a47266,FAILED_BREAK_RECLAIM_SHORT,SHORT,CANDIDATE,2026-03-30 04:30:00+00:00,2026-03-30 04:30:00+00:00,2026-03-30 04:30:00+00:00,FAILED_BREAK_UP,H1,2026-03-30 04:29:00+00:00,67487.7,1,True,False,False,False,False,2.3380271083376196,0.5843299059254915,0.0,0.28236914600550966,INVALIDATED,2026-03-30 04:32:00+00:00,,12
6ded84a264bd234ef565b710,FAILED_BREAK_RECLAIM_SHORT,SHORT,CANDIDATE,2026-03-30 08:08:00+00:00,2026-03-30 08:08:00+00:00,2026-03-30 08:08:00+00:00,FAILED_BREAK_UP,H1,2026-03-30 08:06:00+00:00,67777.0,0,False,False,False,False,False,0.685218064848228,1.0561195092446505,0.8702229299363011,0.0,INVALIDATED,2026-03-30 08:11:00+00:00,,12
cdd9e320ed5efa3409afe54a,FAILED_BREAK_RECLAIM_SHORT,SHORT,CANDIDATE,2026-03-30 11:28:00+00:00,2026-03-30 11:28:00+00:00,2026-03-30 11:28:00+00:00,FAILED_BREAK_UP,H1,2026-03-30 11:27:00+00:00,67920.0,5,True,True,True,True,True,8.582554744977966,7.707354901934975,6.852054195804046,13.373983739837405,EXPIRED,,2026-03-30 11:40:00+00:00,12
89522034e456a3a1c21cacdc,FAILED_BREAK_RECLAIM_SHORT,SHORT,CANDIDATE,2026-03-30 13:26:00+00:00,2026-03-30 13:26:00+00:00,2026-03-30 13:26:00+00:00,FAILED_BREAK_UP,H1,2026-03-30 13:22:00+00:00,67998.0,2,True,False,False,True,False,1.5710316914510447,1.3271441631265686,0.4487521201846551,2.3267973856209174,EXPIRED,,2026-03-30 13:38:00+00:00,12
025e7e075769825cf28e132d,FAILED_BREAK_RECLAIM_LONG,LONG,CANDIDATE,2026-03-30 14:21:00+00:00,2026-03-30 14:21:00+00:00,2026-03-30 14:21:00+00:00,FAILED_BREAK_DOWN,H1,2026-03-30 14:20:00+00:00,67333.3,1,False,False,True,False,False,1.059156204417587,0.634691816379269,6.759868684442108,0.0,INVALIDATED,2026-03-30 14:28:00+00:00,,12
3711c617488c92d9828c70cf,FAILED_BREAK_RECLAIM_SHORT,SHORT,CANDIDATE,2026-03-31 01:37:00+00:00,2026-03-31 01:37:00+00:00,2026-03-31 01:37:00+00:00,FAILED_BREAK_UP,H4,2026-03-31 01:35:00+00:00,68148.4,3,True,True,True,False,False,1.771665239004057,2.264422229762379,1.5440058274014516,0.033931168201648085,INVALIDATED,2026-03-31 01:38:00+00:00,,12
e5379aee533aa6102ed030a3,FAILED_BREAK_RECLAIM_LONG,LONG,CANDIDATE,2026-03-31 09:28:00+00:00,2026-03-31 09:28:00+00:00,2026-03-31 09:28:00+00:00,FAILED_BREAK_DOWN,H1,2026-03-31 09:27:00+00:00,66377.1,1,False,False,False,False,True,0.8533623499175176,0.7927805464278807,0.13189325439277338,0.0,EXPIRED,,2026-03-31 09:40:00+00:00,12
c3eed66a7fa6c67beef867a1,FAILED_BREAK_RECLAIM_LONG,LONG,CANDIDATE,2026-03-31 10:06:00+00:00,2026-03-31 10:06:00+00:00,2026-03-31 10:06:00+00:00,FAILED_BREAK_DOWN,H4,2026-03-31 09:56:00+00:00,66200.1,0,False,False,False,False,False,0.5985746101611198,0.6883674087846533,0.32356916600474744,0.003703017959637105,EXPIRED,,2026-03-31 10:18:00+00:00,12
6a8bf19c00c0f910ef988ca9,FAILED_BREAK_RECLAIM_SHORT,SHORT,CANDIDATE,2026-03-31 16:45:00+00:00,2026-03-31 16:45:00+00:00,2026-03-31 16:45:00+00:00,FAILED_BREAK_UP,H1,2026-03-31 16:42:00+00:00,67765.8,2,True,False,True,False,False,1.8836624033651,0.7659425256212047,1.8343779998871699,0.06363970138293967,INVALIDATED,2026-03-31 16:46:00+00:00,,12
1aa6954e4d80fdcf5dbd92dd,FAILED_BREAK_RECLAIM_SHORT,SHORT,CANDIDATE,2026-03-31 17:16:00+00:00,2026-03-31 17:16:00+00:00,2026-03-31 17:16:00+00:00,FAILED_BREAK_UP,H4,2026-03-31 17:15:00+00:00,68377.0,4,True,False,True,True,True,2.1115203413000034,0.6582053902172198,4.846897132777018,5.646227696766597,EXPIRED,,2026-03-31 17:28:00+00:00,12
