Slice,Trades,Wins,WinRate,FullFadeRate,NoFadeRate,TotalPnl
baseline_short,14,10,0.7142857142857143,0.5,0.0,228.97000000000116
deep_reclaim_watch,2,1,0.5,0.5,0.0,23.64000000001397
