variant,run_id,trade_id,source_setup_id,entry_signal_ts,entry_activation_ts,exit_ts,exit_reason_category,holding_bars,trade_return_pct
baseline_current,2026-03-15_to_2026-03-15_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_6803bd368e510c07e556a394,6803bd368e510c07e556a394,2026-03-15 05:27:00+00:00,2026-03-15 05:28:00+00:00,2026-03-15 05:29:00+00:00,STOP,1,-0.00047509
baseline_current,2026-03-15_to_2026-03-15_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_4a0ad4416490f17f30860697,4a0ad4416490f17f30860697,2026-03-15 05:47:00+00:00,2026-03-15 05:48:00+00:00,2026-03-15 05:48:00+00:00,TARGET,0,0.00001047
baseline_current,2026-03-15_to_2026-03-15_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_c691a48ff94dffbf86a7c7a4,c691a48ff94dffbf86a7c7a4,2026-03-15 05:48:00+00:00,2026-03-15 05:49:00+00:00,2026-03-15 05:50:00+00:00,TARGET,1,0.00038767
baseline_current,2026-03-15_to_2026-03-15_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_1f25f51c5981e2a022fb0de3,1f25f51c5981e2a022fb0de3,2026-03-15 05:50:00+00:00,2026-03-15 05:51:00+00:00,2026-03-15 06:03:00+00:00,EXPIRY,12,0.00005732
baseline_current,2026-03-15_to_2026-03-15_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_1f66634295689bba8bdc1f5d,1f66634295689bba8bdc1f5d,2026-03-15 09:44:00+00:00,2026-03-15 09:45:00+00:00,2026-03-15 09:50:00+00:00,TARGET,4,0.00083252
baseline_current,2026-03-15_to_2026-03-15_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_4a3b724e35a75426f6db98b4,4a3b724e35a75426f6db98b4,2026-03-15 09:54:00+00:00,2026-03-15 09:55:00+00:00,2026-03-15 09:55:00+00:00,TARGET,0,0.00003763
baseline_current,2026-03-15_to_2026-03-15_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_bc4f34a39fda8a486008d482,bc4f34a39fda8a486008d482,2026-03-15 10:05:00+00:00,2026-03-15 10:06:00+00:00,2026-03-15 10:06:00+00:00,TARGET,0,0.00024882
baseline_current,2026-03-15_to_2026-03-15_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_90e2b6a6173df667c835177a,90e2b6a6173df667c835177a,2026-03-15 10:06:00+00:00,2026-03-15 10:07:00+00:00,2026-03-15 10:13:00+00:00,STOP,6,-0.00066525
baseline_current,2026-03-15_to_2026-03-15_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_48dadbe0af4954f8377aa221,48dadbe0af4954f8377aa221,2026-03-15 10:39:00+00:00,2026-03-15 10:40:00+00:00,2026-03-15 10:41:00+00:00,STOP,1,-0.00000279
baseline_current,2026-03-15_to_2026-03-15_run_001,TRADE_RULESET_EXPERIMENT_SHORT_RECLAIM_TIMING_BASELINE_CURRENT_BASE_1549fabc49d0fd51c6a28098,1549fabc49d0fd51c6a28098,2026-03-15 20:42:00+00:00,2026-03-15 20:43:00+00:00,2026-03-15 20:46:00+00:00,TARGET,3,0.00124446
