variant,run_id,status,source_setups,selected_setups,output_dir,trade_count,resolved_trade_count,unresolved_trade_count,win_rate,mean_return,median_return,promotion_decision,validation_status,robustness_status,notes
survival_confirm_1,2026-04-02_to_2026-04-02_run_001,COMPLETED,5,3,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-04-02_to_2026-04-02_run_001,3,3,0,0.6666666666666666,0.00071852,0.00084698,REJECT,FAIL,UNSTABLE,
favorable_close_confirm_1,2026-04-02_to_2026-04-02_run_001,COMPLETED,5,2,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/favorable_close_confirm_1/2026-04-02_to_2026-04-02_run_001,2,2,0,0.5,0.00065430,0.00065430,REJECT,FAIL,UNSTABLE,
baseline_current,2026-04-03_to_2026-04-03_run_001,COMPLETED,7,7,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-04-03_to_2026-04-03_run_001,7,7,0,0.42857142857142855,0.00011609,-0.00014978,REJECT,FAIL,FRAGILE,
entry_delay_1,2026-04-03_to_2026-04-03_run_001,COMPLETED,7,7,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-04-03_to_2026-04-03_run_001,7,7,0,0.5714285714285714,0.00012109,0.00004464,REJECT,FAIL,FRAGILE,
entry_delay_2,2026-04-03_to_2026-04-03_run_001,COMPLETED,7,7,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-04-03_to_2026-04-03_run_001,7,7,0,0.7142857142857143,0.00023564,0.00005064,REJECT,FAIL,FRAGILE,
survival_confirm_1,2026-04-03_to_2026-04-03_run_001,COMPLETED,7,4,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-04-03_to_2026-04-03_run_001,4,4,0,0.25,-0.00016472,-0.00031353,REJECT,FAIL,UNSTABLE,
favorable_close_confirm_1,2026-04-03_to_2026-04-03_run_001,COMPLETED,7,5,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/favorable_close_confirm_1/2026-04-03_to_2026-04-03_run_001,5,5,0,0.4,0.00012576,-0.00022169,REJECT,FAIL,UNSTABLE,
baseline_current,2026-04-04_to_2026-04-04_run_001,COMPLETED,10,10,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-04-04_to_2026-04-04_run_001,10,10,0,0.4,-0.00008533,-0.00015362,REJECT,FAIL,UNSTABLE,
entry_delay_1,2026-04-04_to_2026-04-04_run_001,COMPLETED,10,10,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-04-04_to_2026-04-04_run_001,10,10,0,0.4,-0.00002202,-0.00002863,REJECT,FAIL,UNSTABLE,
entry_delay_2,2026-04-04_to_2026-04-04_run_001,COMPLETED,10,10,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-04-04_to_2026-04-04_run_001,10,10,0,0.6,0.00027553,0.00005892,REJECT,FAIL,UNSTABLE,
