VariantId,Date,AnalyzerRunId,BacktestRunId,DerivedRunId,RulesetId,SetupId,EntrySignalTs,EntryActivationTs,ExitTs,ExitReason,ExitReasonCategory,TradeReturnPct,TradePnl,Resolved,Win,RelVolume_20,DeltaAbsRatio_20,OIChangeAbsRatio_20,LiqTotalRatio_20,CtxRelVolumeSpike_v1,CtxDeltaSpike_v1,CtxOISpike_v1,CtxLiqSpike_v1,CtxWickReclaim_v1,SpikeCount,CandidateFilterPass,FilterFailureReason,H2_Post3Label_v1,H2_Post6Label_v1,H2_Post12Label_v1,SetupBarTs,ReferenceEventTs,ReferenceLevel,Setup_Open,Setup_High,Setup_Low,Setup_Close,Setup_BarRange,Setup_BodyToRange,Setup_CloseLocation,Setup_UpperWickToRange,Setup_LowerWickToRange,Setup_ImpulseRangeRatio_20_v1,Setup_ImpulseVolumeRatio_v1,Setup_ImpulseDeltaRatio_v1,Setup_ImpulseOIRatio_v1,Setup_PreCompression_6v20_v1,Impulse_Open,Impulse_High,Impulse_Low,Impulse_Close,Impulse_BarRange,Impulse_BodyToRange,Impulse_CloseLocation,Impulse_UpperWickToRange,Impulse_LowerWickToRange,Impulse_ImpulseRangeRatio_20_v1,Impulse_ImpulseVolumeRatio_v1,Impulse_ImpulseDeltaRatio_v1,Impulse_ImpulseOIRatio_v1,Impulse_PreCompression_6v20_v1,ReclaimDepthToImpulseRange,ReclaimDepthToSetupRange,SetupCloseLocationInImpulseRange,DeepReclaimWatch
IMPULSE_FADE_RECLAIM_SHORT_V1_LOW_STRESS,2026-05-13,2026-05-13_to_2026-05-13_run_001,2026-05-13_to_2026-05-13_run_001_routine_20260515,derived_run_0002_ruleset_report_setuptype_impulse_fade_reclaim_sh,RULESET_REPORT_SETUPTYPE_IMPULSE_FADE_RECLAIM_SHORT_V1_V1_BOTH_BASE,64e93c9b26528b9f03f9b3bc,2026-05-13 00:02:00+00:00,2026-05-13 00:03:00+00:00,2026-05-13 00:03:00+00:00,TAKE_PROFIT,TARGET,0.0002525964931031,20.32499999999709,True,True,1.0495066834943945,1.0844296092676224,1.0280735721194536,0.0,False,False,False,False,False,0,True,,EARLY_CONTINUATION,RECLAIM_HELD,FULL_FADE,2026-05-13 00:02:00+00:00,2026-05-13 00:01:00+00:00,80477.85,80485.5,80500.0,80464.3,80464.4,35.69999999999709,0.5910364145660376,0.0028011204479349,0.4061624649860275,0.0028011204479349,1.0,1.0495066834943945,1.0844296092676224,1.0280735721194536,1.0,80461.0,80497.2,80460.9,80485.5,36.30000000000291,0.6749311294765299,0.6776859504133291,0.3223140495866708,0.0027548209367992,1.994505494505176,1.7788766719564724,1.9605517483746264,2.0,1.0,0.37052341597825245,0.37675070028046886,0.09641873278236142,False
IMPULSE_FADE_RECLAIM_SHORT_V1_LOW_STRESS,2026-05-13,2026-05-13_to_2026-05-13_run_001,2026-05-13_to_2026-05-13_run_001_routine_20260515,derived_run_0002_ruleset_report_setuptype_impulse_fade_reclaim_sh,RULESET_REPORT_SETUPTYPE_IMPULSE_FADE_RECLAIM_SHORT_V1_V1_BOTH_BASE,7708830941ab2cdb79460ad1,2026-05-13 01:16:00+00:00,2026-05-13 01:17:00+00:00,2026-05-13 01:21:00+00:00,STOP_LOSS,STOP,-0.0006567449937107,-53.09999999999127,True,False,1.474456228493119,2.536109262428795,0.0880591757661109,0.0,False,True,False,False,False,1,False,delta_abs_ratio_20_gt_2_0_or_missing,NO_EARLY_CONTINUATION,RECLAIM_FAILED,PARTIAL_FADE,2026-05-13 01:16:00+00:00,2026-05-13 01:13:00+00:00,80906.4,80922.8,80922.8,80853.3,80853.3,69.5,1.0,0.0,0.0,0.0,1.716049382715741,1.474456228493119,2.536109262428795,0.0880591757661109,1.4790123456786028,80875.0,80939.9,80875.0,80928.4,64.89999999999418,0.8228043143297221,0.8228043143297221,0.1771956856702778,0.0,1.854285714285548,1.8961054803121355,0.3973686204850569,6.585442705597403,1.6,0.8181818181817571,0.7640287769782916,-0.3343605546995229,True
IMPULSE_FADE_RECLAIM_SHORT_V1_LOW_STRESS,2026-05-13,2026-05-13_to_2026-05-13_run_001,2026-05-13_to_2026-05-13_run_001_routine_20260515,derived_run_0002_ruleset_report_setuptype_impulse_fade_reclaim_sh,RULESET_REPORT_SETUPTYPE_IMPULSE_FADE_RECLAIM_SHORT_V1_V1_BOTH_BASE,0e62a4432c9873ff6f59ebaa,2026-05-13 02:28:00+00:00,2026-05-13 02:29:00+00:00,2026-05-13 02:33:00+00:00,TAKE_PROFIT,TARGET,0.0005549683853009,45.0,True,True,1.2231987266657591,0.7139816130133664,0.79239665636078,0.0,False,False,False,False,False,0,True,,NO_EARLY_CONTINUATION,RECLAIM_HELD,FULL_FADE,2026-05-13 02:28:00+00:00,2026-05-13 02:24:00+00:00,81115.7,81141.4,81141.5,81077.4,81085.6,64.10000000000582,0.870514820592563,0.1279251170048501,0.0015600624025867,0.1279251170048501,2.018897637795459,1.2231987266657591,0.7139816130133664,0.79239665636078,1.952755905511811,81081.5,81149.9,81081.5,81149.9,68.39999999999418,1.0,1.0,0.0,0.0,2.3304940374786227,2.991266224847432,6.197578136546904,0.9469130947707494,0.8568994889268382,0.44005847953207355,0.4695787831511472,0.05994152046792646,False
IMPULSE_FADE_RECLAIM_SHORT_V1_LOW_STRESS,2026-05-13,2026-05-13_to_2026-05-13_run_001,2026-05-13_to_2026-05-13_run_001_routine_20260515,derived_run_0002_ruleset_report_setuptype_impulse_fade_reclaim_sh,RULESET_REPORT_SETUPTYPE_IMPULSE_FADE_RECLAIM_SHORT_V1_V1_BOTH_BASE,3d9584e28084fe4168d1f837,2026-05-13 06:21:00+00:00,2026-05-13 06:22:00+00:00,2026-05-13 06:22:00+00:00,TAKE_PROFIT,TARGET,0.0003718416583522,30.15000000000873,True,True,1.2539845086041608,0.4202965329842344,3.6473151352040976,0.0,False,False,True,False,False,1,True,,EARLY_CONTINUATION,RECLAIM_HELD,FULL_FADE,2026-05-13 06:21:00+00:00,2026-05-13 06:20:00+00:00,81103.0,81123.0,81123.0,81082.9,81083.0,40.10000000000582,0.9975062344138202,0.0024937655861797,0.0,0.0024937655861797,1.9278846153846252,1.2539845086041608,0.4202965329842344,3.6473151352040976,1.1899038461536795,81080.1,81126.0,81080.0,81123.0,46.0,0.9326086956520474,0.9347826086956522,0.0652173913043478,0.0021739130436047,2.358974358974359,1.9113760236641013,3.938475704181141,0.8484663512891455,1.0923076923074684,0.43478260869565216,0.4987531172069101,0.06521739130434782,False
IMPULSE_FADE_RECLAIM_SHORT_V1_LOW_STRESS,2026-05-13,2026-05-13_to_2026-05-13_run_001,2026-05-13_to_2026-05-13_run_001_routine_20260515,derived_run_0002_ruleset_report_setuptype_impulse_fade_reclaim_sh,RULESET_REPORT_SETUPTYPE_IMPULSE_FADE_RECLAIM_SHORT_V1_V1_BOTH_BASE,4ca5660ddef2747a5713aa24,2026-05-13 07:17:00+00:00,2026-05-13 07:18:00+00:00,2026-05-13 07:19:00+00:00,TAKE_PROFIT,TARGET,8.019845258327664e-05,6.494999999980792,True,True,1.0784774436090223,0.1796166717371461,1.1410837908798237,0.0,False,False,False,False,False,0,True,,EARLY_CONTINUATION,RECLAIM_HELD,FULL_FADE,2026-05-13 07:17:00+00:00,2026-05-13 07:16:00+00:00,80990.93,81013.7,81015.7,80986.5,80986.5,29.19999999999709,0.9315068493150616,0.0,0.0684931506849383,0.0,2.3739837398366,1.0784774436090223,0.1796166717371461,1.1410837908798237,1.4552845528453024,80972.0,81013.7,80972.0,81013.7,41.69999999999709,1.0,1.0,0.0,0.0,3.3902439024379856,2.248122419881625,3.660284638074697,1.4160180768221335,1.1016260162601386,0.10623501199024758,0.1517123287668992,0.3477218225419907,False
IMPULSE_FADE_RECLAIM_SHORT_V1_LOW_STRESS,2026-05-13,2026-05-13_to_2026-05-13_run_001,2026-05-13_to_2026-05-13_run_001_routine_20260515,derived_run_0002_ruleset_report_setuptype_impulse_fade_reclaim_sh,RULESET_REPORT_SETUPTYPE_IMPULSE_FADE_RECLAIM_SHORT_V1_V1_BOTH_BASE,54ff8d837863442bd63857b3,2026-05-13 08:06:00+00:00,2026-05-13 08:07:00+00:00,2026-05-13 08:07:00+00:00,TAKE_PROFIT,TARGET,8.278023052537046e-05,6.705000000001746,True,True,1.086099180269614,0.5774570042438208,0.1837118472448413,0.0,False,False,False,False,False,0,True,,EARLY_CONTINUATION,RECLAIM_HELD,PARTIAL_FADE,2026-05-13 08:06:00+00:00,2026-05-13 08:01:00+00:00,81002.07,81014.8,81021.9,80997.5,80997.5,24.39999999999418,0.7090163934429113,0.0,0.2909836065570886,0.0,1.913725490196714,1.086099180269614,0.5774570042438208,0.1837118472448413,1.8980392156871293,80981.9,81029.6,80981.8,81029.6,47.80000000000291,0.9979079497909776,1.0,0.0,0.0020920502090222,3.9180327868864193,2.231772947426152,2.532693176609791,0.4022154819993903,1.6229508196721605,0.09560669456080977,0.18729508196754407,0.3284518828451074,False
IMPULSE_FADE_RECLAIM_SHORT_V1_LOW_STRESS,2026-05-13,2026-05-13_to_2026-05-13_run_001,2026-05-13_to_2026-05-13_run_001_routine_20260515,derived_run_0002_ruleset_report_setuptype_impulse_fade_reclaim_sh,RULESET_REPORT_SETUPTYPE_IMPULSE_FADE_RECLAIM_SHORT_V1_V1_BOTH_BASE,93b4f244d6ef7485dba9bc5a,2026-05-13 12:31:00+00:00,2026-05-13 12:32:00+00:00,2026-05-13 12:32:00+00:00,TAKE_PROFIT,TARGET,0.0003956722374655,31.72499999999127,True,True,2.4256037457109727,2.3170059821203326,2.873747216035184,0.0483926719668164,True,True,True,False,False,3,False,rel_volume_20_gt_1_5_or_missing;delta_abs_ratio_20_gt_2_0_or_missing;spike_count_gt_2,EARLY_CONTINUATION,RECLAIM_HELD,FULL_FADE,2026-05-13 12:31:00+00:00,2026-05-13 12:25:00+00:00,80201.15,80315.9,80324.1,80165.7,80180.0,158.40000000000873,0.8579545454544614,0.0902777777777911,0.0517676767677474,0.0902777777777911,3.911111111112029,2.4256037457109727,2.3170059821203326,2.873747216035184,1.3086419753088772,80160.4,80242.0,80160.3,80242.0,81.69999999999709,0.9987760097920284,1.0,0.0,0.0012239902079715,2.475757575757488,2.105159591122792,2.91431544689818,0.8787526181057884,2.3136363636363195,0.2588739290085059,0.13352272727268316,0.24112607099140504,False
IMPULSE_FADE_RECLAIM_SHORT_V1_LOW_STRESS,2026-05-13,2026-05-13_to_2026-05-13_run_001,2026-05-13_to_2026-05-13_run_001_routine_20260515,derived_run_0002_ruleset_report_setuptype_impulse_fade_reclaim_sh,RULESET_REPORT_SETUPTYPE_IMPULSE_FADE_RECLAIM_SHORT_V1_V1_BOTH_BASE,350e4eb4c92100fa3e3ea7f0,2026-05-13 13:38:00+00:00,2026-05-13 13:39:00+00:00,2026-05-13 13:41:00+00:00,TAKE_PROFIT,TARGET,0.0009602462554901,76.74000000000524,True,True,1.3415056963362508,1.1561585894516782,0.1748901273157384,0.3887333223521659,False,False,False,False,False,0,True,,EARLY_CONTINUATION,RECLAIM_HELD,FULL_FADE,2026-05-13 13:38:00+00:00,2026-05-13 13:37:00+00:00,79968.16,80002.1,80002.1,79916.9,79916.9,85.20000000001164,1.0,0.0,0.0,0.0,1.942987457240923,1.3415056963362508,1.1561585894516782,0.1748901273157384,1.87001140250878,79986.0,80007.7,79931.4,80002.0,76.30000000000291,0.2096985583224035,0.9252948885976818,0.0747051114023181,0.7155963302752784,1.989569752281768,2.315541616113053,0.3522142636770703,4.721678576304255,2.2672750977835827,0.6718217562255224,0.60164319248829,-0.1900393184796782,True
IMPULSE_FADE_RECLAIM_SHORT_V1_LOW_STRESS,2026-05-13,2026-05-13_to_2026-05-13_run_001,2026-05-13_to_2026-05-13_run_001_routine_20260515,derived_run_0002_ruleset_report_setuptype_impulse_fade_reclaim_sh,RULESET_REPORT_SETUPTYPE_IMPULSE_FADE_RECLAIM_SHORT_V1_V1_BOTH_BASE,e7203d8ce2b939b6c2301c11,2026-05-13 15:05:00+00:00,2026-05-13 15:06:00+00:00,2026-05-13 15:06:00+00:00,TAKE_PROFIT,TARGET,0.0006680089569651,53.25,True,True,1.3848034569814047,2.007923375716769,0.4055766793424059,0.0716479017400204,False,True,False,False,False,1,False,delta_abs_ratio_20_gt_2_0_or_missing,EARLY_CONTINUATION,RECLAIM_HELD,FULL_FADE,2026-05-13 15:05:00+00:00,2026-05-13 15:01:00+00:00,79750.0,79770.0,79776.6,79714.5,79714.5,62.10000000000582,0.8937198067632013,0.0,0.1062801932367987,0.0,1.4821002386633146,1.3848034569814047,2.007923375716769,0.4055766793424059,1.280429594272018,79727.3,79800.0,79700.0,79773.6,100.0,0.4630000000000291,0.7360000000000582,0.2639999999999418,0.2730000000000291,2.2988505747126435,3.94100546243452,4.253834786044368,1.2741198998371266,0.7505747126437116,0.355,0.5716586151368225,0.145,False
IMPULSE_FADE_RECLAIM_SHORT_V1_LOW_STRESS,2026-05-13,2026-05-13_to_2026-05-13_run_001,2026-05-13_to_2026-05-13_run_001_routine_20260515,derived_run_0002_ruleset_report_setuptype_impulse_fade_reclaim_sh,RULESET_REPORT_SETUPTYPE_IMPULSE_FADE_RECLAIM_SHORT_V1_V1_BOTH_BASE,4ed90c4632946f49914119ec,2026-05-13 16:05:00+00:00,2026-05-13 16:06:00+00:00,2026-05-13 16:07:00+00:00,TAKE_PROFIT,TARGET,1.5213541065563231e-05,1.1999999999825377,True,True,0.7026885734039712,0.9416619870125466,2.174248936378336,0.0,False,False,True,False,False,1,True,,EARLY_CONTINUATION,RECLAIM_HELD,PARTIAL_FADE,2026-05-13 16:05:00+00:00,2026-05-13 16:01:00+00:00,78877.9,78924.9,78956.8,78871.3,78877.2,85.5,0.5578947368420712,0.0690058479531482,0.3730994152047804,0.0690058479531482,1.2954545454545454,0.7026885734039712,0.9416619870125466,2.1742489363783357,1.268939393939394,78794.7,78995.9,78768.8,78991.4,227.09999999999127,0.8661382650814824,0.9801849405548207,0.019815059445179,0.1140466754733385,3.8361486486486895,2.622624778733351,0.721987268929944,2.171037628278216,1.7964527027027664,0.0030823425803483775,0.008187134502889937,0.47732276530162193,False
