variant,runs_attempted,runs_completed,runs_skipped_no_setups,runs_failed,trade_count,resolved_trade_count,unresolved_trade_count,pos_rate,mean_return,median_return,sum_return,max_drawdown,positive_day_rate,largest_day_trade_share,largest_day_return_share,avg_win,avg_loss,payoff_ratio,exit_reason_categories,validation_statuses,robustness_statuses,promotion_decisions,notes
baseline_current,39,39,0,0,191,191,0,48.69,0.00002978,-0.00001265,0.00568846,-0.01288895,55.88,6.81,10.88,0.00070048,-0.00060670,1.1546,EXPIRY:14;STOP:93;TARGET:84,FAIL:39,FRAGILE:10;UNSTABLE:29,REJECT:39,current ctx_spike_count_ge2 replay semantics
entry_delay_1,39,39,0,0,191,191,0,61.26,0.00017416,0.00016674,0.03326394,-0.00702553,64.71,6.81,13.23,0.00075537,-0.00074479,1.0142,EXPIRY:20;STOP:94;TARGET:77,FAIL:39,FRAGILE:3;UNSTABLE:36,REJECT:39,shift SetupBarTs forward 1 raw bar; enter on following open
entry_delay_2,39,39,0,0,191,191,0,58.64,0.00002879,0.00008501,0.00549847,-0.02067334,61.76,6.81,15.63,0.00066231,-0.00086937,0.7618,EXPIRY:30;STOP:106;TARGET:55,FAIL:39,FRAGILE:8;UNSTABLE:31,REJECT:39,shift SetupBarTs forward 2 raw bars; enter on following open
survival_confirm_1,39,35,4,0,122,122,0,50.00,0.00013756,0.00002484,0.01678283,-0.01043900,53.33,8.20,15.34,0.00109238,-0.00081725,1.3367,EXPIRY:20;STOP:50;TARGET:52,FAIL:35,UNSTABLE:35,REJECT:35,"keep only setups where first post-signal bar does not touch original stop, then delay 1 bar"
favorable_close_confirm_1,39,34,5,0,94,94,0,50.00,0.00016087,0.00002799,0.01512205,-0.00858429,55.17,8.51,21.64,0.00117235,-0.00085061,1.3783,EXPIRY:18;STOP:37;TARGET:39,FAIL:34,UNSTABLE:34,REJECT:34,"keep only setups where first post-signal bar closes below its open, then delay 1 bar"
