StopModel,Count,Min,P10,P25,Median,P75,P90,Max,Mean
REFERENCE_LEVEL_HARD_STOP,37,0.2,7.38,17.4,35.7,87.5,124.08,278.0,58.794595
SWEEP_EXTREME_HARD_STOP,37,46.2,72.72,111.2,183.0,231.4,317.0,472.9,190.664865
