StopModel,Trades,MFE_R_ge_1p5,MFE_R_ge_1p5_Pct,MFE_R_ge_2,MFE_R_ge_2_Pct,MFE_R_ge_3,MFE_R_ge_3_Pct,MFE_R_ge_5,MFE_R_ge_5_Pct,MFE_R_ge_10,MFE_R_ge_10_Pct,MedianMFE_R,MeanMFE_R,P75MFE_R,P90MFE_R,MedianTimeToBestMFE_Bars,MeanMAE_R_before_best_MFE
REFERENCE_LEVEL_HARD_STOP,37,37,1.0,37,1.0,37,1.0,36,0.972973,31,0.837838,42.644178,979.512033,128.515152,426.618182,2659.0,56.594015
SWEEP_EXTREME_HARD_STOP,37,34,0.918919,34,0.918919,34,0.918919,29,0.783784,23,0.621622,12.411209,19.372148,23.753653,36.754302,2659.0,7.599171
