SourceReport,GroupType,GroupValue,SampleCount,RankingMethod,RankingScore,RankingLabel,Delta_Mean_CloseReturn_Pct,Delta_PositiveCloseReturnRate,SelectionDecision,SelectionReason
report,SetupType,FAILED_BREAK_RECLAIM_LONG,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.22047729849880923,TOP,0.13324136922602353,0.2055335968379447,SELECT,STRONG_POSITIVE_EDGE
report,SetupType,FAILED_BREAK_RECLAIM_SHORT,35,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.06715637358497688,WEAK,-0.04187585889960738,-0.06459627329192547,REJECT,NON_POSITIVE_EDGE
report,Direction,LONG,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.22047729849880923,TOP,0.13324136922602353,0.2055335968379447,SELECT,STRONG_POSITIVE_EDGE
report,Direction,SHORT,35,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.06715637358497688,WEAK,-0.04187585889960738,-0.06459627329192547,REJECT,NON_POSITIVE_EDGE
report,LifecycleStatus,EXPIRED,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.5287084892097236,TOP,0.39860112515170376,0.4782608695652174,SELECT,STRONG_POSITIVE_EDGE
report,LifecycleStatus,INVALIDATED,35,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.1640290335226928,WEAK,-0.1252746393333926,-0.15031055900621115,REJECT,NON_POSITIVE_EDGE
report,OutcomeStatus,FULL_HORIZON,46,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.001625591478537176,TOP,0.0,0.0,REVIEW,POSITIVE_BUT_BORDERLINE
context_report,CtxRelVolumeSpike_v1,0,39,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.018436100820607624,TOP,0.0033119426656373764,0.01672240802675584,REVIEW,POSITIVE_BUT_BORDERLINE
context_report,CtxRelVolumeSpike_v1,1,7,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.09203296057014111,WEAK,-0.018452251994265343,-0.09316770186335405,REJECT,NON_POSITIVE_EDGE
context_report,CtxDeltaSpike_v1,0,40,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.004259439544008913,TOP,-0.0028944855994105906,0.003260869565217428,REVIEW,POSITIVE_BUT_BORDERLINE
context_report,CtxDeltaSpike_v1,1,6,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.015933395624607466,WEAK,0.01929657066273728,-0.021739130434782594,REJECT,NON_POSITIVE_EDGE
context_report,CtxOISpike_v1,0,38,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.03636400733479107,TOP,0.03350663865276517,0.03089244851258588,REVIEW,POSITIVE_BUT_BORDERLINE
context_report,CtxOISpike_v1,1,8,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.16338188383866847,WEAK,-0.1591565336006345,-0.1467391304347826,REJECT,NON_POSITIVE_EDGE
context_report,CtxLiqSpike_v1,0,41,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.008520158030053864,WEAK,-0.0053793330683333624,-0.009544008483563071,REJECT,NON_POSITIVE_EDGE
context_report,CtxLiqSpike_v1,1,5,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08482073744898391,TOP,0.04411053116033355,0.07826086956521738,SELECT,STRONG_POSITIVE_EDGE
context_report,CtxWickReclaim_v1,0,39,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.02269766963065424,TOP,0.035312750575952574,0.01672240802675584,REVIEW,POSITIVE_BUT_BORDERLINE
context_report,CtxWickReclaim_v1,1,7,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.1157759867975437,WEAK,-0.19674246749459293,-0.09316770186335405,REJECT,NON_POSITIVE_EDGE
context_report,AbsorptionScore_v1,LOW,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.17790716098926262,TOP,0.08800108717392645,0.1657608695652174,SELECT,STRONG_POSITIVE_EDGE
context_report,AbsorptionScore_v1,MID,15,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.05295457158440586,WEAK,0.01144099130759836,-0.05507246376811592,REJECT,NON_POSITIVE_EDGE
context_report,AbsorptionScore_v1,HIGH,15,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.13182791960329351,WEAK,-0.10530881762645325,-0.12173913043478257,REJECT,NON_POSITIVE_EDGE
context_report,RelVolume_20,LOW,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.22798064216454594,WEAK,-0.16751358636404504,-0.2092391304347826,REJECT,NON_POSITIVE_EDGE
context_report,RelVolume_20,MID,15,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2305909129169381,TOP,0.15054836733608948,0.2115942028985507,SELECT,STRONG_POSITIVE_EDGE
context_report,RelVolume_20,HIGH,15,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.017573585926091585,TOP,0.02813279145222522,0.011594202898550732,REVIEW,POSITIVE_BUT_BORDERLINE
context_report,DeltaAbsRatio_20,LOW,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.16874455443757894,TOP,0.01246606647967335,0.1657608695652174,SELECT,STRONG_POSITIVE_EDGE
context_report,DeltaAbsRatio_20,MID,15,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.1286425303360737,WEAK,-0.06510923961178501,-0.12173913043478257,REJECT,NON_POSITIVE_EDGE
