ShortlistRank,SourceReport,GroupType,GroupValue,SelectionDecision,SelectionReason,RankingLabel,ScoreBand,SampleBand,DeltaDirection,PositiveRateDirection,ExplanationCode
1,report,LifecycleStatus,EXPIRED,SELECT,STRONG_POSITIVE_EDGE,TOP,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP
2,context_report,RelVolume_20,MID,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP
3,report,Direction,LONG,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP
4,report,SetupType,FAILED_BREAK_RECLAIM_LONG,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP
5,context_report,AbsorptionScore_v1,LOW,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP
6,context_report,OIChangeAbsRatio_20,MID,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP
7,context_report,DeltaAbsRatio_20,LOW,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP
8,context_report,LiqTotalRatio_20,LOW,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP
9,context_report,CtxLiqSpike_v1,1,SELECT,STRONG_POSITIVE_EDGE,TOP,WEAK_POSITIVE,SMALL,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|SMALL|UP|UP
10,context_report,CtxOISpike_v1,0,REVIEW,POSITIVE_BUT_BORDERLINE,TOP,WEAK_POSITIVE,LARGE,UP,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|UP|UP
11,context_report,OIChangeAbsRatio_20,LOW,REVIEW,POSITIVE_BUT_BORDERLINE,TOP,WEAK_POSITIVE,MEDIUM,DOWN,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|MEDIUM|DOWN|UP
12,context_report,CtxWickReclaim_v1,0,REVIEW,POSITIVE_BUT_BORDERLINE,TOP,WEAK_POSITIVE,LARGE,UP,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|UP|UP
13,context_report,LiqTotalRatio_20,HIGH,REVIEW,POSITIVE_BUT_BORDERLINE,TOP,WEAK_POSITIVE,MEDIUM,UP,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP
14,context_report,CtxRelVolumeSpike_v1,0,REVIEW,POSITIVE_BUT_BORDERLINE,TOP,WEAK_POSITIVE,LARGE,UP,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|UP|UP
15,context_report,RelVolume_20,HIGH,REVIEW,POSITIVE_BUT_BORDERLINE,TOP,WEAK_POSITIVE,MEDIUM,UP,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP
16,context_report,CtxDeltaSpike_v1,0,REVIEW,POSITIVE_BUT_BORDERLINE,TOP,WEAK_POSITIVE,LARGE,DOWN,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|DOWN|UP
17,report,OutcomeStatus,FULL_HORIZON,REVIEW,POSITIVE_BUT_BORDERLINE,TOP,WEAK_POSITIVE,LARGE,FLAT,FLAT,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|FLAT|FLAT
