Timestamp,Open,High,Low,Close,Volume,AggTrades,BuyQty,SellQty,VWAP,OpenInterest,FundingRate,LiqBuyQty,LiqSellQty,IsSynthetic,Delta,CVD,DeltaPct,BarRange,BodySize,UpperWick,LowerWick,CloseLocation,BodyToRange,UpperWickToRange,LowerWickToRange,OI_Change,LiqTotal,SwingHigh_H1_Price,SwingHigh_H1_ConfirmedAt,SwingLow_H1_Price,SwingLow_H1_ConfirmedAt,SwingHigh_H4_Price,SwingHigh_H4_ConfirmedAt,SwingLow_H4_Price,SwingLow_H4_ConfirmedAt,Sweep_H1_Up,Sweep_H1_Down,Sweep_H1_Direction,Sweep_H1_ReferenceLevel,Sweep_H1_ReferenceTs,Sweep_H4_Up,Sweep_H4_Down,Sweep_H4_Direction,Sweep_H4_ReferenceLevel,Sweep_H4_ReferenceTs,FailedBreak_H1_Up,FailedBreak_H1_Down,FailedBreak_H1_Direction,FailedBreak_H1_ReferenceLevel,FailedBreak_H1_ReferenceSweepTs,FailedBreak_H1_ConfirmedTs,FailedBreak_H4_Up,FailedBreak_H4_Down,FailedBreak_H4_Direction,FailedBreak_H4_ReferenceLevel,FailedBreak_H4_ReferenceSweepTs,FailedBreak_H4_ConfirmedTs,RelVolume_20,DeltaAbsRatio_20,OIChangeAbsRatio_20,LiqTotalRatio_20,CtxRelVolumeSpike_v1,CtxDeltaSpike_v1,CtxOISpike_v1,CtxLiqSpike_v1,CtxWickReclaim_v1,AbsorptionScore_v1
2026-03-16 00:00:00+00:00,72760.6,72793.9,72755.1,72778.9,86.007,997,44.153,41.854,72777.2,83088.5,2.479e-05,0.002,0.0,0,2.2989999999999995,2.2989999999999995,0.026730382410734003,38.79999999998836,18.29999999998836,15.0,5.5,0.6134020618555541,0.4716494845359239,0.3865979381444459,0.14175257731963015,,0.002,,,,,,,,,False,False,,,,False,False,,,,False,False,,,,,False,False,,,,,1.0,1.0,0.0,1.0,False,False,False,False,False,0
2026-03-16 00:01:00+00:00,72778.9,72928.0,72774.0,72928.0,663.778,4466,409.21,254.568,72828.57,83088.66,2.513e-05,0.758,0.0,0,154.64199999999997,156.94099999999997,0.23297246971125882,154.0,149.10000000000582,0.0,4.899999999994179,1.0,0.968181818181856,0.0,0.03181818181814402,0.16000000000349246,0.758,,,,,,,,,False,False,,,,False,False,,,,False,False,,,,,False,False,,,,,1.7705822335736243,1.970702365857233,2.0,1.9947368421052631,True,True,True,True,False,4
2026-03-16 00:02:00+00:00,72927.9,72980.1,72872.1,72919.9,434.512,4502,232.961,201.551,72932.23,82984.32,2.553e-05,1.88,0.0,0,31.410000000000025,188.351,0.07228799204624964,108.0,8.0,52.20000000001164,47.79999999998836,0.4425925925924848,0.07407407407407407,0.48333333333344114,0.4425925925924848,-104.33999999999651,1.88,,,,,,,,,False,False,,,,False,False,,,,False,False,,,,,False,False,,,,,1.100683358988497,0.5002893533880897,2.995406698564493,2.1363636363636367,False,False,True,True,True,3
2026-03-16 00:03:00+00:00,72920.0,72934.6,72846.0,72907.6,229.398,3258,68.333,161.065,72884.54,83059.18,2.553e-05,0.05,0.0,0,-92.732,95.619,-0.40424066469629205,88.60000000000582,12.39999999999418,14.60000000000582,61.60000000000582,0.6952595936794782,0.1399548532730628,0.16478555304745893,0.6952595936794782,74.85999999998603,0.05,,,,,,,,,False,False,,,,False,False,,,,False,False,,,,,False,False,,,,,0.6490735271752393,1.3196386832359126,1.6694915254235474,0.07434944237918216,False,False,True,False,True,2
2026-03-16 00:04:00+00:00,72907.7,72979.9,72866.9,72898.9,160.979,2679,72.882,88.097,72918.1,83138.57,2.597e-05,1.073,0.0,0,-15.21499999999999,80.40400000000001,-0.09451543369010858,113.0,8.80000000000291,72.19999999999709,32.0,0.2831858407079646,0.07787610619471602,0.6389380530973193,0.2831858407079646,79.39000000001397,1.073,,,,,,,,,False,False,,,,False,False,,,,False,False,,,,,False,False,,,,,0.5111502444315459,0.2567516486780199,1.5341062801935066,1.4257241562583045,False,False,True,False,True,2
2026-03-16 00:05:00+00:00,72898.9,72939.4,72848.6,72905.4,136.102,2511,52.949,83.153,72883.28,83182.42,2.641e-05,0.0,0.0,0,-30.204000000000008,50.2,-0.22192179394865622,90.79999999998836,6.5,34.0,50.29999999998836,0.6255506607929036,0.07158590308370961,0.37444933920709644,0.553964757709194,43.84999999999127,0.0,,,,,,,,,False,False,,,,False,False,,,,False,False,,,,,False,False,,,,,0.47733426234644394,0.5550471360052925,0.8694646397883516,0.0,False,False,False,False,True,1
2026-03-16 00:06:00+00:00,72905.4,72943.3,72865.6,72890.0,81.711,2424,35.952,45.759,72895.61,83208.93,2.628e-05,0.0,0.027,0,-9.807000000000002,40.393,-0.1200205602672835,77.69999999999709,15.39999999999418,37.90000000000873,24.39999999999418,0.3140283140282509,0.1981981981981307,0.4877734877736184,0.3140283140282509,26.50999999999476,0.027,,,,,,,,,False,False,,,,False,False,,,,False,False,,,,,False,False,,,,,0.3190968749006268,0.20412477810584914,0.5638540305672001,0.04986807387862796,False,False,False,False,True,1
2026-03-16 00:07:00+00:00,72889.9,72938.6,72865.2,72865.3,127.42,2793,54.742,72.678,72907.31,83211.4,2.628e-05,0.0,0.0,0,-17.936,22.457,-0.1407628315805996,73.40000000000873,24.59999999999127,48.70000000001164,0.10000000000582077,0.0013623978202426277,0.3351498637600592,0.6634877384196982,0.0013623978202426277,2.470000000001164,0.0,,,,,,,,,False,False,,,,False,False,,,,False,False,,,,,False,False,,,,,0.5309423841884008,0.40505300004234357,0.059593461608088774,0.0,False,False,False,False,True,1
2026-03-16 00:08:00+00:00,72865.3,72937.5,72855.6,72935.8,74.522,1699,45.519,29.003,72906.53,83218.44,2.619e-05,0.0,0.0,0,16.516,38.973,0.22162582861436886,81.89999999999418,70.5,1.6999999999970896,9.69999999999709,0.9792429792430133,0.860805860805922,0.020757020756986697,0.11843711843709132,7.040000000008149,0.0,,,,,,,,,False,False,,,,False,False,,,,False,False,,,,,False,False,,,,,0.33628572388387856,0.4009159539433759,0.18711239737781057,0.0,False,False,False,False,False,0
2026-03-16 00:09:00+00:00,72935.8,72936.0,72878.9,72881.1,59.515,1032,19.435,40.08,72914.19,83224.11,2.629e-05,0.0,0.002,0,-20.645,18.328,-0.3468873393262203,57.10000000000582,54.69999999999709,0.19999999999708962,2.2000000000116415,0.03852889667270433,0.9579684763571193,0.0035026269701763438,0.03852889667270433,5.669999999998254,0.002,,,,,,,,,False,False,,,,False,False,,,,False,False,,,,,False,False,,,,,0.2897596039619386,0.5274574227272959,0.16468674663796098,0.005274261603375528,False,False,False,False,False,0
