GroupType,GroupValue,SampleCount,Mean_MFE_Pct,Median_MFE_Pct,Mean_MAE_Pct,Median_MAE_Pct,Mean_CloseReturn_Pct,Median_CloseReturn_Pct,PositiveCloseReturnRate,InvalidatedRate,ExpiredRate,PendingRate,FullHorizonRate,PartialHorizonRate,NoForwardBarsRate
overall,ALL,1,0.04065867046147591,0.04065867046147591,-0.20126041878430573,-0.20126041878430573,-0.12333130039981026,-0.12333130039981026,0.0,1.0,0.0,0.0,1.0,0.0,0.0
SetupType,FAILED_BREAK_RECLAIM_LONG,1,0.04065867046147591,0.04065867046147591,-0.20126041878430573,-0.20126041878430573,-0.12333130039981026,-0.12333130039981026,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Direction,LONG,1,0.04065867046147591,0.04065867046147591,-0.20126041878430573,-0.20126041878430573,-0.12333130039981026,-0.12333130039981026,0.0,1.0,0.0,0.0,1.0,0.0,0.0
LifecycleStatus,INVALIDATED,1,0.04065867046147591,0.04065867046147591,-0.20126041878430573,-0.20126041878430573,-0.12333130039981026,-0.12333130039981026,0.0,1.0,0.0,0.0,1.0,0.0,0.0
OutcomeStatus,FULL_HORIZON,1,0.04065867046147591,0.04065867046147591,-0.20126041878430573,-0.20126041878430573,-0.12333130039981026,-0.12333130039981026,0.0,1.0,0.0,0.0,1.0,0.0,0.0
