SetupId,SetupType,Direction,Status,DetectedAt,SetupBarTs,ReferenceEventTs,ReferenceEventType,SourceTF,ReferenceEventAnchorTs,ReferenceLevel,AbsorptionScore_v1,CtxRelVolumeSpike_v1,CtxDeltaSpike_v1,CtxOISpike_v1,CtxLiqSpike_v1,CtxWickReclaim_v1,RelVolume_20,DeltaAbsRatio_20,OIChangeAbsRatio_20,LiqTotalRatio_20,LifecycleStatus,InvalidatedAt,ExpiredAt,LifecycleBarsForward
f5daf6c44609011f48671c99,FAILED_BREAK_RECLAIM_SHORT,SHORT,CANDIDATE,2026-03-23 10:13:00+00:00,2026-03-23 10:13:00+00:00,2026-03-23 10:13:00+00:00,FAILED_BREAK_UP,H1,2026-03-23 10:12:00+00:00,68670.0,0,False,False,False,False,False,0.8518351504881705,0.7583493730420147,0.025647003963763945,0.0,EXPIRED,,2026-03-23 10:25:00+00:00,12
c7b8db14c8c90c58f242d2a2,FAILED_BREAK_RECLAIM_SHORT,SHORT,CANDIDATE,2026-03-23 13:53:00+00:00,2026-03-23 13:53:00+00:00,2026-03-23 13:53:00+00:00,FAILED_BREAK_UP,H1,2026-03-23 13:52:00+00:00,71468.0,1,False,False,True,False,False,1.3888787646851577,0.9556268514800678,4.4584140061790185,0.3636810418970389,INVALIDATED,2026-03-23 14:01:00+00:00,,12
56fd1b1ca06774e54f79628f,FAILED_BREAK_RECLAIM_LONG,LONG,CANDIDATE,2026-03-23 22:34:00+00:00,2026-03-23 22:34:00+00:00,2026-03-23 22:34:00+00:00,FAILED_BREAK_DOWN,H1,2026-03-23 22:33:00+00:00,70509.3,3,True,True,False,False,True,2.143502493657453,4.655774311835399,0.4236886632831605,0.0,EXPIRED,,2026-03-23 22:46:00+00:00,12
