"file","rows","min_timestamp","max_timestamp","synthetic_rows","sha256","status"
"2026-04-23.csv","1440","2026-04-23 00:00:00","2026-04-23 23:59:00","0","d5e0be9677c20f7b6a8c586f5317fb45f7af13ef6255cc8b47ab60068a95e52d","external_local_recovered_gap_mirror_not_tracked_in_git"
"2026-04-24.csv","1440","2026-04-24 00:00:00","2026-04-24 23:59:00","0","53e1406dec86838feae76622a5ae5f83fed2688e6373a927fa4f277afc70fca2","external_local_recovered_gap_mirror_not_tracked_in_git"
"2026-04-25.csv","1440","2026-04-25 00:00:00","2026-04-25 23:59:00","0","56d118ebd29c8c1fe5496ea99bcf7b2c360567319e4f53108ebfbe692b9a7e1b","external_local_recovered_gap_mirror_not_tracked_in_git"
"2026-04-26.csv","1440","2026-04-26 00:00:00","2026-04-26 23:59:00","0","f07037e4a3df5e196be9a2b5d3484f1b35e1e18b8d80b8850171c6bd54b886bc","external_local_recovered_gap_mirror_not_tracked_in_git"
"2026-04-27.csv","1440","2026-04-27 00:00:00","2026-04-27 23:59:00","0","3bf4c2416928a6300917251aba0dc0b6c376ae46340f9f95be66da83f4aab6da","external_local_recovered_gap_mirror_not_tracked_in_git"
"2026-04-28.csv","1440","2026-04-28 00:00:00","2026-04-28 23:59:00","0","0de6bdbb44adfedcbbd8b9ae4691488d1b6800d93090cf868060fe9ee77150fb","external_local_recovered_gap_mirror_not_tracked_in_git"
"2026-04-29.csv","1440","2026-04-29 00:00:00","2026-04-29 23:59:00","0","6df61d9e9c04e7d429abe8e202a5b54dcf2599a6067955a114b0c03ecfc0bd38","external_local_recovered_gap_mirror_not_tracked_in_git"
"2026-04-30.csv","1440","2026-04-30 00:00:00","2026-04-30 23:59:00","0","8438ca17d9323be3070b3f645a13ffefeea9f7461bfb2c582bfcaccc577da576","external_local_recovered_gap_mirror_not_tracked_in_git"
"2026-05-01.csv","1440","2026-05-01 00:00:00","2026-05-01 23:59:00","0","08d1388ca96a3f25bc113e290741c80ad4a5288b96b3bcad78f90dc887e7b718","external_local_recovered_gap_mirror_not_tracked_in_git"
"2026-05-02.csv","1440","2026-05-02 00:00:00","2026-05-02 23:59:00","0","f5dc8388c708a3aebbe79460560ef96af4fdb666fe04e1ccadff4dc9b239ab8c","external_local_recovered_gap_mirror_not_tracked_in_git"
"2026-05-03.csv","1440","2026-05-03 00:00:00","2026-05-03 23:59:00","0","4a92ebbce4ab608ecab7e389f8c45daf63c063c1942e32f22272ca34ef915eac","external_local_recovered_gap_mirror_not_tracked_in_git"
"2026-05-04.csv","1440","2026-05-04 00:00:00","2026-05-04 23:59:00","0","36f28d1bb93e2e6e4916c4479ce5e1ab57fc6b5af68c6a421e5673a9de2a686d","external_local_recovered_gap_mirror_not_tracked_in_git"
"2026-05-05.csv","1440","2026-05-05 00:00:00","2026-05-05 23:59:00","0","8932437e4586d496690c27ca5d4d944414924e7ba35329ce5674e9c29aee29d6","external_local_recovered_gap_mirror_not_tracked_in_git"
"2026-05-06.csv","1440","2026-05-06 00:00:00","2026-05-06 23:59:00","0","91bd34dc47dc19c0fb4d1ba3ba52c330167714290669dad2876da3052f4e4660","external_local_recovered_gap_mirror_not_tracked_in_git"
