candidate_event_id,candidate_id,symbol,timeframe,side,setup_timestamp,entry_timestamp,entry_price,stop_price,exit_rule_id,source_analyzer_run,source_sidecar_file,rule_version,feature_snapshot_hash,eligible_reason,source_setup_id,original_setup_timestamp,reference_event_timestamp,reference_level,target_price,risk_distance,take_profit_r,expiry_bars
f91c8bc25df0c9bf7b39e0ac,CAND_SHORT_CTX_SPIKE_GE2_ENTRY_DELAY_1,BTCUSDT,H1_H2_CONTEXT_M1_REPLAY,SHORT,2026-05-02T06:00:00+00:00,2026-05-02T06:01:00+00:00,78400.0,78446.5,FIXED_R_MULTIPLE_1.5_OR_EXPIRY_12_BARS,2026-05-02_to_2026-05-02_run_001,research/results/short_reclaim_timing_survival_diagnostic_trades_2026-05-03.csv,SPRINT03_CTX_GE2_ENTRY_DELAY_1_V1,686aa6e96617511dc7a40f502bd5cc3606bd3fa074f94cc38f08eeea3f41c5bd,ctx_spike_count>=2;entry_delay_1;no_future_labels,98f82e3cbdb351b14d058ecb,2026-05-02T05:59:00+00:00,2026-05-02T05:57:00+00:00,78446.5,78330.25,46.5,1.5,12
20e2cba0062ee4c0aad2bc9f,CAND_SHORT_CTX_SPIKE_GE2_ENTRY_DELAY_1,BTCUSDT,H1_H2_CONTEXT_M1_REPLAY,SHORT,2026-05-02T11:40:00+00:00,2026-05-02T11:41:00+00:00,78318.0,78363.0,FIXED_R_MULTIPLE_1.5_OR_EXPIRY_12_BARS,2026-05-02_to_2026-05-02_run_001,research/results/short_reclaim_timing_survival_diagnostic_trades_2026-05-03.csv,SPRINT03_CTX_GE2_ENTRY_DELAY_1_V1,e0ff3d306b19cce27a38ce1f0bc812f5d03ce06ecad6f8d8fa96971b746f1720,ctx_spike_count>=2;entry_delay_1;no_future_labels,dcac7d01a29c79bde8429acb,2026-05-02T11:39:00+00:00,2026-05-02T11:39:00+00:00,78363.0,78250.5,45.0,1.5,12
c6b8a08144b3a3744875b2b6,CAND_SHORT_CTX_SPIKE_GE2_ENTRY_DELAY_1,BTCUSDT,H1_H2_CONTEXT_M1_REPLAY,SHORT,2026-05-02T22:01:00+00:00,2026-05-02T22:02:00+00:00,78459.0,78468.95,FIXED_R_MULTIPLE_1.5_OR_EXPIRY_12_BARS,2026-05-02_to_2026-05-02_run_001,research/results/short_reclaim_timing_survival_diagnostic_trades_2026-05-03.csv,SPRINT03_CTX_GE2_ENTRY_DELAY_1_V1,ecf0c815653b79bb06aba3bc5434f9043264d27e2f75adf8d6561bd335d33b60,ctx_spike_count>=2;entry_delay_1;no_future_labels,d1e8bc1b087693f8b57d70ba,2026-05-02T22:00:00+00:00,2026-05-02T21:59:00+00:00,78468.95,78444.075,9.95,1.5,12
8d8fd9bcaf63778818c49f93,CAND_SHORT_CTX_SPIKE_GE2_ENTRY_DELAY_1,BTCUSDT,H1_H2_CONTEXT_M1_REPLAY,SHORT,2026-05-03T00:23:00+00:00,2026-05-03T00:24:00+00:00,78677.0,78684.57,FIXED_R_MULTIPLE_1.5_OR_EXPIRY_12_BARS,2026-05-03_to_2026-05-03_run_001,research/results/short_reclaim_timing_survival_diagnostic_trades_2026-05-03.csv,SPRINT03_CTX_GE2_ENTRY_DELAY_1_V1,d79b785b3c74d0264c5b1f593b3ac9d9f7b481a97a4549200aee7f4b3ef25d96,ctx_spike_count>=2;entry_delay_1;no_future_labels,e1b751683da5e406f13384a2,2026-05-03T00:22:00+00:00,2026-05-03T00:21:00+00:00,78684.57,78665.645,7.57,1.5,12
60bb7d457599a0fdf3c99919,CAND_SHORT_CTX_SPIKE_GE2_ENTRY_DELAY_1,BTCUSDT,H1_H2_CONTEXT_M1_REPLAY,SHORT,2026-05-03T05:37:00+00:00,2026-05-03T05:38:00+00:00,78180.0,78194.5,FIXED_R_MULTIPLE_1.5_OR_EXPIRY_12_BARS,2026-05-03_to_2026-05-03_run_001,research/results/short_reclaim_timing_survival_diagnostic_trades_2026-05-03.csv,SPRINT03_CTX_GE2_ENTRY_DELAY_1_V1,40bf51822f9c0b53656be83da1f73039b419a8c9f3be6c6a9cf685d73f3c525d,ctx_spike_count>=2;entry_delay_1;no_future_labels,0753ba536a81e4a3f24dc228,2026-05-03T05:36:00+00:00,2026-05-03T05:35:00+00:00,78194.5,78158.25,14.5,1.5,12
e189c829df8cc223c8b04896,CAND_SHORT_CTX_SPIKE_GE2_ENTRY_DELAY_1,BTCUSDT,H1_H2_CONTEXT_M1_REPLAY,SHORT,2026-05-03T05:56:00+00:00,2026-05-03T05:57:00+00:00,78195.0,78196.87,FIXED_R_MULTIPLE_1.5_OR_EXPIRY_12_BARS,2026-05-03_to_2026-05-03_run_001,research/results/short_reclaim_timing_survival_diagnostic_trades_2026-05-03.csv,SPRINT03_CTX_GE2_ENTRY_DELAY_1_V1,37b34144268f61333a8eae1c300cfca1fd94ca5073edfd8c0c35569ad1dde4b3,ctx_spike_count>=2;entry_delay_1;no_future_labels,1beafe681978d1828657ef5f,2026-05-03T05:55:00+00:00,2026-05-03T05:52:00+00:00,78196.87,78192.195,1.87,1.5,12
db6be40762e26de89ec56339,CAND_SHORT_CTX_SPIKE_GE2_ENTRY_DELAY_1,BTCUSDT,H1_H2_CONTEXT_M1_REPLAY,SHORT,2026-05-03T19:27:00+00:00,2026-05-03T19:28:00+00:00,78776.0,78781.0,FIXED_R_MULTIPLE_1.5_OR_EXPIRY_12_BARS,2026-05-03_to_2026-05-03_run_001,research/results/short_reclaim_timing_survival_diagnostic_trades_2026-05-03.csv,SPRINT03_CTX_GE2_ENTRY_DELAY_1_V1,8eeab12d6cd999367a1d2d4979b69e7e2b530002fd8272bd322392642c9deb17,ctx_spike_count>=2;entry_delay_1;no_future_labels,6d8d146f9ab896537e3410b3,2026-05-03T19:26:00+00:00,2026-05-03T19:25:00+00:00,78781.0,78768.5,5.0,1.5,12
2ce665d6288fa46d8fead3b2,CAND_SHORT_CTX_SPIKE_GE2_ENTRY_DELAY_1,BTCUSDT,H1_H2_CONTEXT_M1_REPLAY,SHORT,2026-05-03T21:55:00+00:00,2026-05-03T21:56:00+00:00,78773.0,78789.0,FIXED_R_MULTIPLE_1.5_OR_EXPIRY_12_BARS,2026-05-03_to_2026-05-03_run_001,research/results/short_reclaim_timing_survival_diagnostic_trades_2026-05-03.csv,SPRINT03_CTX_GE2_ENTRY_DELAY_1_V1,cf5d341893e1132b9acf6df8cb5c3e3002ed10ff898d7487e2afa80ff8960122,ctx_spike_count>=2;entry_delay_1;no_future_labels,7967c44af6da0ee9e9c0f191,2026-05-03T21:54:00+00:00,2026-05-03T21:53:00+00:00,78789.0,78749.0,16.0,1.5,12
1fe2a7e338eb39614083be9a,CAND_SHORT_CTX_SPIKE_GE2_ENTRY_DELAY_1,BTCUSDT,H1_H2_CONTEXT_M1_REPLAY,SHORT,2026-05-04T19:55:00+00:00,2026-05-04T19:56:00+00:00,80443.0,80545.0,FIXED_R_MULTIPLE_1.5_OR_EXPIRY_12_BARS,2026-05-04_to_2026-05-04_run_001,research/results/short_reclaim_timing_survival_diagnostic_trades_2026-05-03.csv,SPRINT03_CTX_GE2_ENTRY_DELAY_1_V1,be1d4f6c89179ffe607e5833856e9126487f0adf7b19fc3e79eb07a239727c7c,ctx_spike_count>=2;entry_delay_1;no_future_labels,8cceef1ba9a293354a12cbcb,2026-05-04T19:54:00+00:00,2026-05-04T19:54:00+00:00,80545.0,80290.0,102.0,1.5,12
a9124f9539415a324677863f,CAND_SHORT_CTX_SPIKE_GE2_ENTRY_DELAY_1,BTCUSDT,H1_H2_CONTEXT_M1_REPLAY,SHORT,2026-05-04T19:55:00+00:00,2026-05-04T19:56:00+00:00,80443.0,80636.0,FIXED_R_MULTIPLE_1.5_OR_EXPIRY_12_BARS,2026-05-04_to_2026-05-04_run_001,research/results/short_reclaim_timing_survival_diagnostic_trades_2026-05-03.csv,SPRINT03_CTX_GE2_ENTRY_DELAY_1_V1,c60036acc3512ae6d962922122b38da0666f28e38660ad80ae7e6626b9d07377,ctx_spike_count>=2;entry_delay_1;no_future_labels,f137f26655fd73856f71b6db,2026-05-04T19:54:00+00:00,2026-05-04T19:54:00+00:00,80636.0,80153.5,193.0,1.5,12
