family,side,horizon,vwap_bp_bucket,surface_type,events,independent_days,max_day_count,max_day_share,mean_return_bp,median_return_bp,positive_rate,net_bp_after_0_00015,net_bp_after_0_00020,avg_MFE,avg_MAE,MFE_MAE_ratio,max_session_share,session_distribution,no_lookahead_predicates,verdict,verdict_reason,rejection_strength_bucket,volume_bucket
VWAP_DEVIATION_REVERSION,SHORT,6,,volume_bucket_only,320,53,17,0.053125,6.202563,5.389826,0.65,4.702563,4.202563,21.877064,-13.549885,1.614557,0.340625,"{""ASIA"": 46, ""LATE_US"": 86, ""LONDON"": 79, ""US"": 109}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q95_PLUS
VWAP_DEVIATION_REVERSION,SHORT,6,,volume_bucket_only,472,51,31,0.065678,6.178814,5.196195,0.684322,4.678814,4.178814,19.558282,-9.109224,2.147085,0.385593,"{""ASIA"": 60, ""LATE_US"": 138, ""LONDON"": 92, ""US"": 182}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,BELOW_Q75
VWAP_DEVIATION_REVERSION,SHORT,12,,volume_bucket_only,166,45,10,0.060241,5.955758,6.610114,0.692771,4.455758,3.955758,19.302876,-12.552628,1.537756,0.379518,"{""ASIA"": 24, ""LATE_US"": 51, ""LONDON"": 28, ""US"": 63}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q90_95
VWAP_DEVIATION_REVERSION,LONG,6,,volume_bucket_only,172,45,12,0.069767,5.863665,5.828201,0.651163,4.363665,3.863665,20.853622,-11.081826,1.881786,0.331395,"{""ASIA"": 27, ""LATE_US"": 42, ""LONDON"": 46, ""US"": 57}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q90_95
VWAP_DEVIATION_REVERSION,SHORT,60,,volume_bucket_only,471,51,31,0.065817,5.810799,7.425702,0.585987,4.310799,3.810799,39.793346,-27.64202,1.439596,0.386412,"{""ASIA"": 60, ""LATE_US"": 138, ""LONDON"": 91, ""US"": 182}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,BELOW_Q75
EXHAUSTION_REVERSAL,LONG,6,,volume_bucket_only,129,47,7,0.054264,5.702807,7.689801,0.697674,4.202807,3.702807,24.254372,-17.544653,1.382437,0.426357,"{""ASIA"": 32, ""LATE_US"": 16, ""LONDON"": 26, ""US"": 55}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q95_PLUS
VWAP_DEVIATION_REVERSION,SHORT,6,,volume_bucket_only,327,50,21,0.06422,5.539306,4.379524,0.66055,4.039306,3.539306,20.223943,-10.937352,1.849071,0.412844,"{""ASIA"": 41, ""LATE_US"": 87, ""LONDON"": 64, ""US"": 135}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q75_90
VWAP_DEVIATION_REVERSION,SHORT,3,,volume_bucket_only,320,53,17,0.053125,5.381332,4.213265,0.66875,3.881332,3.381332,21.877064,-13.549885,1.614557,0.340625,"{""ASIA"": 46, ""LATE_US"": 86, ""LONDON"": 79, ""US"": 109}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q95_PLUS
VWAP_DEVIATION_REVERSION,LONG,6,,volume_bucket_only,320,45,22,0.06875,5.312726,5.029644,0.703125,3.812726,3.312726,18.124326,-10.262075,1.766146,0.434375,"{""ASIA"": 35, ""LATE_US"": 78, ""LONDON"": 68, ""US"": 139}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q75_90
VWAP_DEVIATION_REVERSION,LONG,12,,volume_bucket_only,320,45,22,0.06875,5.24647,4.974103,0.665625,3.74647,3.24647,18.124326,-10.262075,1.766146,0.434375,"{""ASIA"": 35, ""LATE_US"": 78, ""LONDON"": 68, ""US"": 139}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,Q75_90
