surface_id,family,side,horizon,clustered_events,independent_trade_days,net_edge_bp_after_0_00015,verdict,verdict_reason
VWAP_DEVIATION_REVERSION|SHORT|60|LONDON|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q75_90|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,109.042722,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|12|LONDON|EXPANSION|EXTREME_GE_1_0|Q75_90|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,12,1,1,107.753904,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|US|CHOP|EXTREME_GE_1_0|Q90_95|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,24,1,1,99.401747,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|US|EXPANSION|MID_0_3_0_6|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,60,2,2,98.849003,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;positive_rate_below_0_53;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|LONDON|REVERSAL_CANDIDATE|HIGH_0_6_1_0|Q90_95|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,LONG,60,2,2,98.664507,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|LONDON|TREND_UP|EXTREME_GE_1_0|Q90_95|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,94.38849,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|ASIA|TREND_UP|HIGH_0_6_1_0|Q90_95|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,93.878984,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|US|REVERSAL_CANDIDATE|HIGH_0_6_1_0|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,93.843389,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|US|EXPANSION|EXTREME_GE_1_0|Q75_90|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,60,2,2,91.797899,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|LATE_US|EXPANSION|EXTREME_GE_1_0|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,60,1,1,90.857642,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|24|US|REVERSAL_CANDIDATE|MID_0_3_0_6|Q95_PLUS|MID_0_25_0_45,EXHAUSTION_REVERSAL,SHORT,24,1,1,89.85786,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|12|US|REVERSAL_CANDIDATE|MID_0_3_0_6|Q95_PLUS|MID_0_25_0_45,EXHAUSTION_REVERSAL,SHORT,12,1,1,89.188963,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|60|US|EXPANSION|HIGH_0_6_1_0|Q90_95|MID_0_25_0_45,EXHAUSTION_REVERSAL,SHORT,60,2,2,87.889251,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|ASIA|CHOP|MID_0_3_0_6|Q95_PLUS|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,60,1,1,86.905178,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|US|EXPANSION|EXTREME_GE_1_0|Q75_90|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,24,2,2,86.801401,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|ASIA|EXPANSION|MID_0_3_0_6|Q95_PLUS|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,85.685328,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|LONDON|TREND_UP|MID_0_3_0_6|BELOW_Q75|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,85.514765,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|LATE_US|TREND_UP|EXTREME_GE_1_0|Q95_PLUS|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,84.517661,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|US|EXPANSION|EXTREME_GE_1_0|BELOW_Q75|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,LONG,60,2,2,83.891005,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;positive_rate_below_0_53;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|12|LONDON|EXPANSION|EXTREME_GE_1_0|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,12,1,1,83.176017,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|US|TREND_UP|MID_0_3_0_6|Q75_90|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,24,1,1,80.353046,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|12|LONDON|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q90_95|STRONG_GE_0_45,EXHAUSTION_REVERSAL,SHORT,12,1,1,79.581576,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|24|ASIA|CHOP|HIGH_0_6_1_0|Q90_95|MID_0_25_0_45,EXHAUSTION_REVERSAL,SHORT,24,1,1,78.946113,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|US|TREND_UP|MID_0_3_0_6|Q75_90|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,78.879069,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|ASIA|EXPANSION|HIGH_0_6_1_0|Q90_95|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,77.830311,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|LONDON|TREND_UP|EXTREME_GE_1_0|BELOW_Q75|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,77.599377,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|LONDON|EXPANSION|EXTREME_GE_1_0|Q75_90|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,24,1,1,77.123541,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|24|ASIA|CHOP|MID_0_3_0_6|Q95_PLUS|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,LONG,24,1,1,76.748967,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|12|LATE_US|EXPANSION|EXTREME_GE_1_0|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,12,1,1,76.244285,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|6|LONDON|CHOP|EXTREME_GE_1_0|Q95_PLUS|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,6,1,1,75.91139,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|6|LONDON|EXPANSION|EXTREME_GE_1_0|Q75_90|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,6,1,1,75.089932,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|24|LONDON|REVERSAL_CANDIDATE|MID_0_3_0_6|BELOW_Q75|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,LONG,24,1,1,74.791545,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
