Timestamp,EventType,Side,PriceLevel,SourceTF,ReferenceSwingTs,ReferenceSwingPrice,Confidence,MetaJson
2026-03-20 03:00:00+00:00,SWING_HIGH,up,70563.8,H1,2026-03-20 03:00:00+00:00,70563.8,,
2026-03-20 03:30:00+00:00,SWEEP_UP,up,70563.8,H1,2026-03-20 03:00:00+00:00,70563.8,,
2026-03-20 04:00:00+00:00,SWING_LOW,down,70030.6,H1,2026-03-20 04:00:00+00:00,70030.6,,
2026-03-20 06:00:00+00:00,SWING_HIGH,up,70944.9,H1,2026-03-20 06:00:00+00:00,70944.9,,
2026-03-20 08:08:00+00:00,SWEEP_UP,up,70944.9,H1,2026-03-20 06:00:00+00:00,70944.9,,
2026-03-20 09:00:00+00:00,SWING_LOW,down,70161.0,H1,2026-03-20 09:00:00+00:00,70161.0,,
2026-03-20 10:00:00+00:00,SWING_HIGH,up,71342.2,H1,2026-03-20 10:00:00+00:00,71342.2,,
2026-03-20 12:00:00+00:00,SWING_LOW,down,70175.0,H1,2026-03-20 12:00:00+00:00,70175.0,,
2026-03-20 13:00:00+00:00,SWING_HIGH,up,70780.8,H1,2026-03-20 13:00:00+00:00,70780.8,,
2026-03-20 13:32:00+00:00,SWEEP_DOWN,down,70175.0,H1,2026-03-20 12:00:00+00:00,70175.0,,
2026-03-20 16:00:00+00:00,SWING_HIGH,up,71342.2,H4,2026-03-20 16:00:00+00:00,71342.2,,
2026-03-20 17:00:00+00:00,SWING_LOW,down,69450.0,H1,2026-03-20 17:00:00+00:00,69450.0,,
2026-03-20 17:37:00+00:00,SWEEP_DOWN,down,69450.0,H1,2026-03-20 17:00:00+00:00,69450.0,,
2026-03-20 17:38:00+00:00,FAILED_BREAK_DOWN,down,69450.0,H1,2026-03-20 17:37:00+00:00,69450.0,,
2026-03-20 18:00:00+00:00,SWING_HIGH,up,70080.0,H1,2026-03-20 18:00:00+00:00,70080.0,,
2026-03-20 19:00:00+00:00,SWING_LOW,down,69350.0,H1,2026-03-20 19:00:00+00:00,69350.0,,
2026-03-20 19:55:00+00:00,SWEEP_UP,up,70080.0,H1,2026-03-20 18:00:00+00:00,70080.0,,
